Year,URL
2013,https://docs.google.com/spreadsheets/d/1C6bdv9-wHyQLS3fea_hJPVdiReSa9BPZNmzaUaXgKfo/edit
2014,https://docs.google.com/spreadsheets/d/1bKFmztHe4mYSmKpowgq48en3DnMs0aFRVmywaFIoOKA/edit
2015,https://docs.google.com/spreadsheets/d/1iP7wqTO8TAAf6uXh9I6Cg8iNo8t2Ck7KpCY3UsHBp34/edit
2016,https://docs.google.com/spreadsheets/d/1jaX8NTxIdRJ6MqhKOLxFsdSzvx4IlYJNNoujpF4eSsk/edit
2017,https://docs.google.com/spreadsheets/d/1tkMbcvwZL91QEujp8rRLqQB-30_Un3BZx6gmOmsEPgY/edit
2018,https://docs.google.com/spreadsheets/d/1RN9umxdRraCB_xx1yjEwZFUSIozPpVtBRZ8aL0W3hjQ/edit
2019,https://docs.google.com/spreadsheets/d/1mu-WIQuWnJVHZ9ux-XH5086nLkFxqxyp7uDmnYUdTDc/edit
2020,https://docs.google.com/spreadsheets/d/1ZMyAuUYDBCMsFxzXeFivv_FeyNnJMg7HFYkaM6JRs8s/edit
2021,https://docs.google.com/spreadsheets/d/1VgM7ZkdLlEk6z74Fx3Ux4VwCGvfl-vCZnCxLXfmczHQ
2022,https://docs.google.com/spreadsheets/d/1dWl9Yakzi8lj5DmoXI8F1L3HjrX0WdA7ORKDEqjhbFQ/edit
2023,https://docs.google.com/spreadsheets/d/1AhM6EkVmh7AGwJPfF4aclvvRkCpbPcE-qOxZgDc1fZE/edit
2024,https://docs.google.com/spreadsheets/d/1OyXmqqu-DU7gwjxtT7Ohk1yIWqcd3vjqZlroyljkWQU/edit
2025,https://docs.google.com/spreadsheets/d/1yOzcicZk6SpQL0BRkxyVeEqbI1olPc1cmzAtmy-t9Y0/edit
,
BackerKit,https://docs.google.com/spreadsheets/d/19PO7hgDNBynLgVhA-qg2RW65ZdzhiD7TAIba-S7LLIg/edit
Gamefound,https://docs.google.com/spreadsheets/d/1fnWTRHGhGPevPduH9o2q3gcAo_qAbZsHCg4FDmZCCv4/edit?usp=sharing
GameOnTabletop,https://docs.google.com/spreadsheets/d/1GfpBz0ZkHbriaTHMeEQ44anZPAaHrt_oF5spYcoZCY8/edit?usp=sharing
