,,,1740264455815,,266,281,128,0,,,,215,193,408,20,8,,,,,,,,
Kickstarter Link,RPGGeek Item ID,RPGGeek Item Link,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,,Last Updated,Start Date,,
https://www.kickstarter.com/projects/608022189/world-of-calvanna-rpg-ciities-of-calvanna?ref=bggforums,,,https://www.kicktraq.com/projects/608022189/world-of-calvanna-rpg-ciities-of-calvanna/,non-5E,D&D,,THE WORLD OF CALVANNA- RPG-CITIES OF CALVANNA (Canceled),January 2 2012,Y,USD,110.00,1,Not Funded,N,Y,N,$110,2.00%,Cancelled,0,1616169629543,December 3 2011,D&D Supplement the CITIES OF CALVANNA is the FIRST book of a full 25 module campaign from the game designers Calvanna Games.,//s3.amazonaws.com/ksr/projects/60167/photo-small.jpg
https://www.kickstarter.com/projects/attentionspangames/carmine-truth-in-the-darkness?ref=bggforums,,,https://www.kicktraq.com/projects/attentionspangames/carmine-truth-in-the-darkness/,non-5E,https://rpggeek.com/rpg/16823/carmine,,Carmine: Truth in the Darkness,January 9 2012,Y,USD,818.00,1,818.00,Y,N,Y,$818,233.00%,Ended,818,1616169629546,December 10 2011,Carmine: Titd is the first expansion in the growing world of Carmine. It is a non OGL D20 based RPG of Alchemical Fantasy.,//s3.amazonaws.com/ksr/projects/59863/photo-small.jpg
https://www.kickstarter.com/projects/wordstudio/always-never-now?ref=bggforums,,,https://www.kicktraq.com/projects/wordstudio/always-never-now/,RPG,,,Always/Never/Now,January 9 2012,Y,USD,"8,363.00",1,"8,363.00",Y,N,Y,"$8,363",557.00%,Ended,8363,1616169629542,December 1 2011,A cyberpunk action-adventure roleplaying-game scenario ready to play with built-in player characters and simple game rules.,//s3.amazonaws.com/ksr/projects/58084/photo-small.jpg
"http://www.kickstarter.com/projects/jeffdee/cavemaster-rpg?ref=bggforums',",item1949347,,https://www.kicktraq.com/projects/jeffdee/cavemaster-rpg/,RPG,,,Cavemaster RPG,January 11 2012,Y,USD,"3,291.00",1,"3,291.00",Y,N,Y,"$3,291",109.00%,Ended,3291,1616169629519,December 17 2011,"Cavemaster is the Stonepunk RPG! It turns back the clock, allowing primitive technology to develop farther and in new directions.",//s3.amazonaws.com/ksr/projects/59536/photo-small.jpg
https://www.kickstarter.com/projects/jasonlblair/streets-of-bedlam-a-savage-world-of-crime-corrupti?ref=bggforums,,,https://www.kicktraq.com/projects/669629655/streets-of-bedlam-a-savage-world-of-crime-corrupti/,RPG,,,Streets of Bedlam: A Savage World of Crime + Corruption,January 13 2012,Y,USD,"10,267.00",1,"10,267.00",Y,N,Y,"$10,267",342.00%,Ended,10267,1616169629541,November 29 2011,An ultraviolent neo-noir roleplaying game from the critically-acclaimed designer of Little Fears.,//s3.amazonaws.com/ksr/projects/59083/photo-small.jpg
"http://www.kickstarter.com/projects/135802053/api-worldwide-south-america-for-apocalypse-prevent?ref=bggforums',",item1945550,,https://www.kicktraq.com/projects/eloylasanta/api-worldwide-south-america-for-apocalypse-prevent/,non-5E,https://rpggeek.com/rpg/502/apocalypse-prevention-inc,,"API Worldwide: South America, for Apocalypse Prevention, Inc",January 15 2012,Y,USD,"1,345.00",1,"1,345.00",Y,N,Y,"$1,345",134.00%,Ended,1345,1616169629515,December 13 2011,"Hunt demons and police the supernatural at the South American HQ of the shadow corporation, Apocalypse Prevention, Inc.",//s3.amazonaws.com/ksr/projects/56208/photo-small.jpg
"http://www.kickstarter.com/projects/1806106772/astonishing-swordsmen-and-sorcerers-of-hyperborea?ref=bggforums',",item1944501,,https://www.kicktraq.com/projects/1806106772/astonishing-swordsmen-and-sorcerers-of-hyperborea/,RPG,,,Astonishing Swordsmen & Sorcerers of Hyperborea,January 15 2012,Y,USD,"13,216.00",1,"13,216.00",Y,N,Y,"$13,216",220.00%,Ended,13216,1616169629514,December 13 2011,"Role-Playing Game of Swords, Sorcery, and Weird-Fantasy",//s3.amazonaws.com/ksr/projects/62461/photo-small.jpg
https://www.kickstarter.com/projects/1316189427/bitdust-the-roleplaying-game?ref=bggforums,,,https://www.kicktraq.com/projects/1316189427/bitdust-the-roleplaying-game/,RPG,,,Bitdust The Roleplaying Game,January 21 2012,Y,USD,"1,341.00",1,Not Funded,N,N,N,"$1,341",7.00%,Ended,0,1616169629545,December 7 2011,An original space opera RPG that has mankind struggling to survive in a gritty future with dark mysteries and alien cultures.,https://ksr-ugc.imgix.net/projects/61804/photo-original.jpg?w=160&h=90&fit=fill&bg=000000&v=1397768498&auto=format&q=92&s=2dc61c059420910addd405c867372b7c
"http://www.kickstarter.com/projects/462624115/free-rpg-day-neoexodus-adventure-for-pathfinder-rp?ref=bggforums',",item1949345,,https://www.kicktraq.com/projects/462624115/free-rpg-day-neoexodus-adventure-for-pathfinder-rp/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,Free RPG Day NeoExodus Adventure for Pathfinder RPG,January 22 2012,Y,USD,"1,115.00",1,"1,115.00",Y,N,Y,"$1,115",111.00%,Ended,1115,1616169629517,December 17 2011,All New Free Pathfinder Roleplaying Game adventure for Free RPG Day in the NeoExodus: A House Divided setting.,//s3.amazonaws.com/ksr/projects/63293/photo-small.jpg
