,,,1740264480169,,177,,,0,,,,,,233,31,,,,,,,,,,,
Kickstarter Link,RPGGeek Item ID,RPGGeek Item Link,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,OSR-Core,OSR-Adjacent
"http://www.kickstarter.com/projects/1292093911/eldritch-skies-savage-worlds-edition?ref=bggforums',",item2996912,,https://www.kicktraq.com/projects/1292093911/eldritch-skies-savage-worlds-edition/,non-5E,https://rpggeek.com/rpg/286/savage-worlds,,Eldritch Skies (Savage Worlds Edition),January 31 2014,Y,USD,"5,597.00",1,"5,597.00",Y,N,Y,"$5,597",139.00%,Ended,5597,1613497304577,January 1 2014,Eldritch Skies is a Savage Worlds setting in the genre science fiction horror adventure written by John Snead and published by BPI,//s3.amazonaws.com/ksr/projects/667972/photo-small.jpg,,
"http://www.kickstarter.com/projects/951021709/story?ref=bggforums',",item3026988,,https://www.kicktraq.com/projects/951021709/story/,RPG,,,Story,January 31 2014,Y,USD,"2,007.00",1,Not Funded,N,N,N,"$2,007",2.00%,Ended,0,1613497304592,January 10 2014,"A new type of RPG. Work together with thousands of other people to build a world, then play in it.",//s3.amazonaws.com/ksr/projects/615495/photo-small.jpg,,
"http://www.kickstarter.com/projects/103600696/on-a-roll-level-up-your-rpg?ref=bggforums',",item2999585,,https://www.kicktraq.com/projects/103600696/on-a-roll-level-up-your-rpg/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,On A Roll: Level Up Your RPG,February 1 2014,Y,USD,"4,760.00",1,"4,760.00",Y,N,Y,"$4,760",476.00%,Ended,4760,1613497304578,January 2 2014,"A book of theories, advice and wisdom for players and runners of tabletop, LARP and MUSH style RPGs to make their games better.",//s3.amazonaws.com/ksr/projects/806248/photo-small.jpg,,
"http://www.kickstarter.com/projects/1152324789/forever-after-casual-fantasy-rpg?ref=bggforums',",item2999590,,https://www.kicktraq.com/projects/1152324789/forever-after-casual-fantasy-rpg/,RPG,,,Forever After: Casual Fantasy RPG,February 3 2014,Y,USD,387.00,1,Not Funded,N,Y,N,$387,4.00%,Cancelled,0,1613497304579,January 2 2014,A fantasy pen and paper RPG with more focus on creating a better story than on real life hardcore simulation.,//s3.amazonaws.com/ksr/projects/793009/photo-small.jpg,,
"http://www.kickstarter.com/projects/1503538195/aspects-of-fantasy-a-d20-fate-fantasy-roleplaying?ref=bggforums',",item3009396,,https://www.kicktraq.com/projects/1503538195/aspects-of-fantasy-a-d20-fate-fantasy-roleplaying/,non-5E,https://rpggeek.com/rpg/203/fate-core,,Aspects of Fantasy: A D20/Fate Fantasy Roleplaying Game,February 6 2014,Y,USD,"1,657.00",1,Not Funded,N,N,N,"$1,657",36.00%,Ended,0,1613497304582,January 7 2014,"An RPG that takes the FATE system - with its aspects, fate points and areas - and merges it with a streamlined version of D20.",//s3.amazonaws.com/ksr/projects/179497/photo-small.jpg,,
"http://www.kickstarter.com/projects/1907652175/slayers-of-the-great-serpent-ii-beyond-the-forest?ref=bggforums',",item3010727,,https://www.kicktraq.com/projects/1907652175/slayers-of-the-great-serpent-ii-beyond-the-forest/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,Slayers of the Great Serpent II: Beyond the Forest of Night,February 7 2014,Y,USD,"2,110.00",1,"2,110.00",Y,N,Y,"$2,110",162.00%,Ended,2110,1613497304583,January 8 2014,A classic fantasy adventure for Pathfinder and D&D 4th Edition. This module is the second arc of a globe-spanning quest.,//s3.amazonaws.com/ksr/projects/493398/photo-small.jpg,,
"http://www.kickstarter.com/projects/783548120/earthdawn-4th-edition?ref=bggforums',",item3024253,,https://www.kicktraq.com/projects/783548120/earthdawn-4th-edition/,RPG,,https://rpggeek.com/rpgsystem/974/earthdawn,Earthdawn 4th Edition,February 12 2014,Y,USD,"109,596.00",1,"109,596.00",Y,N,Y,"$109,596",1095.00%,Ended,109596,1613497304587,January 13 2014,"A classic tabletop RPG returns. Set in the Age of Legend, heroes are needed to bring hope to a damaged world.",//s3.amazonaws.com/ksr/projects/784817/photo-small.jpg,,
"http://www.kickstarter.com/projects/brentnewhall/the-whispering-road-a-miyazaki-inspired-tabletop-r?ref=bggforums',",item3042122,,https://www.kicktraq.com/projects/brentnewhall/the-whispering-road-a-miyazaki-inspired-tabletop-r/,RPG,,,The Whispering Road: A Miyazaki-inspired Tabletop RPG,February 12 2014,Y,USD,"13,300.00",1,"13,300.00",Y,N,Y,"$13,300",1330.00%,Ended,13300,1613497304551,January 22 2014,A story game designed to evoke the films of Hayao Miyazaki and Studio Ghibli.,//s3.amazonaws.com/ksr/projects/830037/photo-small.jpg,,
"http://www.kickstarter.com/projects/259606561/liber-influxus-communis-the-book-of-collective-inf?ref=bggforums',",item3013668,,https://www.kicktraq.com/projects/259606561/liber-influxus-communis-the-book-of-collective-inf/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,Liber Influxus Communis: the Book of Collective Influence,February 13 2014,Y,USD,"1,903.00",1,"1,903.00",Y,N,Y,"$1,903",190.00%,Ended,1903,1613497304585,January 9 2014,Adapt. Overcome. Survive! The Book of Collective Influence brings NEW Pathfinder classes from top industry designers all in one tome.,//s3.amazonaws.com/ksr/projects/802109/photo-small.jpg,,
