,,,1740264532988,,151,86,,0,,,,,,308,28,,,,,,,,,,,
Kickstarter Link,RPGGeek Item ID,RPGGeek Item Link,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,OSR Core,OSR Adjacent
"https://www.kickstarter.com/projects/235742298/swans-of-black?ref=bggforums',",item4366885,,https://www.kicktraq.com/projects/235742298/swans-of-black/,5E,,,Swans of Black,January 24 2016,Y,USD,"3,726.00",1,"3,726.00",Y,N,Y,"$3,726",372.00%,Ended,3726,1611246118188,January 3 2016,,,,
"https://www.kickstarter.com/projects/1231173913/accursed-world-of-morden?ref=bggforums',",item4369893,,https://www.kicktraq.com/projects/1231173913/accursed-world-of-morden/,non-5E,https://rpggeek.com/rpg/286/savage-worlds,,Accursed: World of Morden,January 26 2016,Y,USD,"11,111.00",1,"11,111.00",Y,N,Y,"$11,111",370.00%,Ended,11111,1611246118190,January 5 2016,,,,
"https://www.kickstarter.com/projects/lmetcalf/curse-of-the-white-mine-a-5e-adventure?ref=bggforums',",item4386350,,https://www.kicktraq.com/projects/lmetcalf/curse-of-the-white-mine-a-5e-adventure/,5E,,,Curse of the White Mine -A 5E adventure,January 30 2016,Y,USD,"3,192.00",1,"3,192.00",Y,N,Y,"$3,192",290.00%,Ended,3192,1611246118191,January 11 2016,,,,
"https://www.kickstarter.com/projects/114290440/genesis-virus-year-1?ref=bggforums',",item4358710,,https://www.kicktraq.com/projects/114290440/genesis-virus-year-1/,RPG,,,"Genesis Virus, Year 1.",January 31 2016,Y,USD,382.00,1,Not Funded,N,Y,N,$382,4.00%,Cancelled,0,1611246118192,January 1 2016,,,,
"https://www.kickstarter.com/projects/nordgames/ultimate-npcs-skulduggery-for-5e-pathfinder-and-sa?ref=bggforums',",item4360477,,https://www.kicktraq.com/projects/nordgames/ultimate-npcs-skulduggery-for-5e-pathfinder-and-sa/,5E,,,"Ultimate NPCs: Skulduggery for 5e, Pathfinder and S&W!",February 1 2016,Y,USD,"60,368.00",1,"60,368.00",Y,N,Y,"$60,368",603.00%,Ended,60368,1611246118193,January 1 2016,,,,
"https://www.kickstarter.com/projects/1861515217/scarred-landsfrpg-setting-in-both-5e-and-pathfinde?ref=bggforums',",item4370226,,https://www.kicktraq.com/projects/1861515217/scarred-landsfrpg-setting-in-both-5e-and-pathfinde/,5E,,,Scarred Lands—FRPG setting in both 5e & Pathfinder editions,February 2 2016,Y,USD,"67,731.00",1,"67,731.00",Y,N,Y,"$67,731",338.00%,Ended,67731,1611246118195,January 5 2016,,,,
"https://www.kickstarter.com/projects/1945825895/introducing-everyverse-rpg-realizing-a-dream?ref=bggforums',",item4367854,,https://www.kicktraq.com/projects/1945825895/introducing-everyverse-rpg-realizing-a-dream/,RPG,,,Introducing EVERYVERSE RPG -- Realizing a Dream,February 3 2016,Y,USD,340.00,1,Not Funded,N,Y,N,$340,6.00%,Cancelled,0,1611246118196,January 4 2016,,,,
"https://www.kickstarter.com/projects/dancoleman/dungeons-on-demand-volume-3-5e-dnd-dungeon-adventu?ref=bggforums',",item4383806,,https://www.kicktraq.com/projects/dancoleman/dungeons-on-demand-volume-3-5e-dnd-dungeon-adventu/,5E,,,Dungeons On Demand: Volume 3 - 5E DnD Dungeon Adventures,February 5 2016,Y,USD,"18,319.00",1,"18,319.00",Y,N,Y,"$18,319",2442.00%,Ended,18319,1611246118200,January 11 2016,,,,
"https://www.kickstarter.com/projects/burningwheel/the-burning-wheel-codex?ref=bggforums',",item4369571,,https://www.kicktraq.com/projects/burningwheel/the-burning-wheel-codex/,non-5E,https://rpggeek.com/rpg/11163/burning-wheel-gold,,The Burning Wheel Codex,February 5 2016,Y,USD,"108,362.00",1,"108,362.00",Y,N,Y,"$108,362",433.00%,Ended,108362,1611246118198,January 5 2016,,,,
"https://www.kickstarter.com/projects/stephaniemcalea/distant-realms-a-guide-to-the-land-of-leviathan?ref=bggforums',",item4374592,,https://www.kicktraq.com/projects/stephaniemcalea/distant-realms-a-guide-to-the-land-of-leviathan/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,"Distant Realms, a guide to the land of Leviathan",February 6 2016,Y,GBP,"4,670.00",1.45,"6,771.50",Y,N,Y,"£4,670",103.00%,Ended,6771.5,1611246118201,January 7 2016,,,,
"https://www.kickstarter.com/projects/shadesofvengeance/era-the-consortium-the-secret-war?ref=bggforums',",item4369422,,https://www.kicktraq.com/projects/shadesofvengeance/era-the-consortium-the-secret-war/,non-5E,https://rpggeek.com/rpg/27058/era-consortium,,Era: The Consortium & The Secret War Expansion - Sci-Fi RPG!,February 7 2016,Y,GBP,"1,484.00",1.45082,"2,153.02",Y,N,Y,"£1,484",296.00%,Ended,2153.02,1611246118202,January 5 2016,,,,
"https://www.kickstarter.com/projects/1588759266/hellfrost-city-guides?ref=bggforums',",item4417292,,https://www.kicktraq.com/projects/1588759266/hellfrost-city-guides/,non-5E,https://rpggeek.com/rpg/286/savage-worlds,,Hellfrost City Guides,February 8 2016,Y,GBP,"5,538.00",1.4433,"7,993.00",Y,N,Y,"£5,538",1107.00%,Ended,7993,1611246118203,January 25 2016,,,,
"https://www.kickstarter.com/projects/evilhat/fate-more-from-bits-to-books?ref=bggforums',",item4386294,,https://www.kicktraq.com/projects/evilhat/fate-more-from-bits-to-books/,non-5E,https://rpggeek.com/rpg/203/fate-core,,Fate More: From Bits to Books,February 10 2016,Y,USD,"73,357.00",1,"73,357.00",Y,N,Y,"$73,357",733.00%,Ended,73357,1611246118206,January 11 2016,,,,
"https://www.kickstarter.com/projects/563681582/the-folio-7-deadlands-edition?ref=bggforums',",item4420065,,https://www.kicktraq.com/projects/563681582/the-folio-7-deadlands-edition/,non-5E,https://rpggeek.com/rpg/1313/deadlands-hell-earth,,The Folio #7 Deadlands Edition,February 10 2016,Y,USD,"6,002.00",1,"6,002.00",Y,N,Y,"$6,002",120.00%,Ended,6002,1611246118204,January 26 2016,,,,
"https://www.kickstarter.com/projects/1413330144/tavern-tales?ref=bggforums',",item4403807,,https://www.kicktraq.com/projects/1413330144/tavern-tales/,RPG,,,Tavern Tales,February 17 2016,Y,USD,"19,919.00",1,"19,919.00",Y,N,Y,"$19,919",102.00%,Ended,19919,1611246118207,January 18 2016,,,,
"https://www.kickstarter.com/projects/1359478628/olympus-inc-a-savage-worlds-setting-book?ref=bggforums',",item4404263,,https://www.kicktraq.com/projects/1359478628/olympus-inc-a-savage-worlds-setting-book/,non-5E,https://rpggeek.com/rpg/286/savage-worlds,,"Olympus, Inc: A Savage Worlds Setting Book",February 18 2016,Y,USD,"8,396.00",1,Not Funded,N,Y,N,"$8,396",98.00%,Cancelled,0,1611246118209,January 19 2016,,,,
"https://www.kickstarter.com/projects/1141200191/lair-of-the-black-dragon?ref=bggforums',",item4408043,,https://www.kicktraq.com/projects/1141200191/lair-of-the-black-dragon/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,Lair of the Black Dragon,February 20 2016,Y,USD,260.00,1,Not Funded,N,N,N,$260,52.00%,Ended,0,1611246118210,January 21 2016,,,,
"https://www.kickstarter.com/projects/788440692/first-edition-adventure-module-a1-a-forgotten-evil?ref=bggforums',",item4409305,,https://www.kicktraq.com/projects/788440692/first-edition-adventure-module-a1-a-forgotten-evil/,non-5E,https://rpggeek.com/rpg/191/advanced-dungeons-dragons-1st-edition,,First Edition Adventure Module A1 A Forgotten Evil,February 21 2016,Y,USD,"7,402.00",1,"7,402.00",Y,N,Y,"$7,402",134.00%,Ended,7402,1611246118212,January 22 2016,,,1,
"https://www.kickstarter.com/projects/inkwellideas/5e-creature-decks?ref=bggforums',",item4413056,,https://www.kicktraq.com/projects/inkwellideas/5e-creature-decks/,5E,,,5e Creature Decks,February 22 2016,Y,USD,"9,722.00",1,"9,722.00",Y,N,Y,"$9,722",388.00%,Ended,9722,1611246118213,January 23 2016,,,,
"https://www.kickstarter.com/projects/1000694697/dnd-5th-edition-9th-level-adventure-pack?ref=bggforums',",item4432942,,https://www.kicktraq.com/projects/1000694697/dnd-5th-edition-9th-level-adventure-pack/,5E,,,DnD 5th edition 9th level adventure pack,February 22 2016,Y,USD,"1,799.00",1,"1,799.00",Y,N,Y,"$1,799",5996.00%,Ended,1799,1611246118216,February 1 2016,,,,
"https://www.kickstarter.com/projects/412792115/against-the-axis-world-war-ii-era-play-in-stark-ci?ref=bggforums',",item4413058,,https://www.kicktraq.com/projects/412792115/against-the-axis-world-war-ii-era-play-in-stark-ci/,non-5E,https://rpggeek.com/rpg/4630/icons,,Against the Axis - World War II Era Play in Stark City,February 22 2016,Y,USD,"2,377.00",1,Not Funded,N,N,N,"$2,377",73.00%,Ended,0,1611246118214,January 23 2016,,,,
"https://www.kickstarter.com/projects/1283988566/starguild-space-opera-noir-tabletop-rpg?ref=bggforums',",item4420068,,https://www.kicktraq.com/projects/1283988566/starguild-space-opera-noir-tabletop-rpg/,RPG,,,Starguild: Space Opera Noir tabletop RPG,February 25 2016,Y,GBP,"5,448.00",1.3963,"7,607.04",Y,N,Y,"£5,448",181.00%,Ended,7607.04,1611246118217,January 26 2016,,,,
"https://www.kickstarter.com/projects/1730454032/the-black-hack?ref=bggforums',",item4445560,,https://www.kicktraq.com/projects/1730454032/the-black-hack/,RPG,,,The Black Hack,February 28 2016,Y,GBP,"5,525.00",1.3861,"7,658.20",Y,N,Y,"£5,525",1105.00%,Ended,7658.2,1611246118219,February 7 2016,,,,1
"https://www.kickstarter.com/projects/1575519826/girls-gone-rogue?ref=bggforums',",item4424218,,https://www.kicktraq.com/projects/1575519826/girls-gone-rogue/,non-5E,https://rpggeek.com/rpg/36340/alpha-blue,,Girls Gone Rogue,February 28 2016,Y,USD,"4,752.00",1,"4,752.00",Y,N,Y,"$4,752",475.00%,Ended,4752,1611246118223,January 29 2016,,,,
"https://www.kickstarter.com/projects/warding-circle/mysteries-of-the-yokai-an-rpg-inspired-by-japanese?ref=bggforums',",item4422089,,https://www.kicktraq.com/projects/warding-circle/mysteries-of-the-yokai-an-rpg-inspired-by-japanese/,RPG,,,Mysteries of the Yōkai: An RPG Inspired by Japanese Folklore,February 28 2016,Y,USD,"7,880.00",1,"7,880.00",Y,N,Y,"$7,880",157.00%,Ended,7880,1611246118221,January 28 2016,,,,
