Kickstarter Link,RPGGeek List Item,RPGGeek List Page,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,OSR Core,OSR Adjacent
"https://www.kickstarter.com/projects/563681582/folio-1-1e-and-5e-adventure-reprint?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5874096#item5874096,1,https://www.kicktraq.com/projects/563681582/folio-1-1e-and-5e-adventure-reprint/,5E,,,Folio #1 1E & 5E Adventure Reprint,12-Jan-18,Y,USD,"5,868.00",1,"5,868.00",Y,N,Y,"$5,868 ",234.00%,Ended,5868,1.61117E+12,January 5 2018,,,,
"https://www.kickstarter.com/projects/1565540130/the-complete-vigilante-hack-make-100-le-3-in-1-rpg?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5881774#item5881774,1,https://www.kicktraq.com/projects/1565540130/the-complete-vigilante-hack-make-100-le-3-in-1-rpg/,non-5E,https://rpggeek.com/rpg/48958/vigilante-hack,,The Complete Vigilante Hack - Make/100 L.E. 3-in-1 RPG,16-Jan-18,Y,USD,"1,923.00",1,"1,923.00",Y,N,Y,"$1,923 ",300.00%,Ended,1923,1.61117E+12,January 9 2018,,,,
"https://www.kickstarter.com/projects/440453703/frankenstein-faktoria-role-playing-game?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5861392#item5861392,1,https://www.kicktraq.com/projects/440453703/frankenstein-faktoria-role-playing-game/,RPG,,,Frankenstein Faktoria Role Playing Game,16-Jan-18,Y,GBP,"2,503.00",1.3797,"3,453.39",Y,N,Y,"£2,503",250.00%,Ended,3453.39,1.61117E+12,January 2 2018,,,,
"https://www.kickstarter.com/projects/gallantknightgames/for-coin-and-blood-grimdark-old-school-fantasy-rol?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5881787#item5881787,1,https://www.kicktraq.com/projects/gallantknightgames/for-coin-and-blood-grimdark-old-school-fantasy-rol/,RPG,,,For Coin & Blood: Grimdark Old-School Fantasy Roleplaying,16-Jan-18,Y,USD,"6,179.00",1,"6,179.00",Y,N,Y,"$6,179 ",617.00%,Ended,6179,1.61117E+12,January 9 2018,,,,1
"https://www.kickstarter.com/projects/brwgames/castle-of-the-mad-archmage-musicland?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5857734#item5857734,1,https://www.kicktraq.com/projects/brwgames/castle-of-the-mad-archmage-musicland/,non-5E,https://rpggeek.com/rpg/9485/adventures-dark-and-deep,,Castle of the Mad Archmage: Musicland,29-Jan-18,Y,EUR,"4,599.00",1.23801,"5,693.61",Y,N,Y,"€4,599",459.00%,Ended,5693.61,1.61117E+12,January 1 2018,,,,1
"https://www.kickstarter.com/projects/339895023/children-of-the-apocalypse-for-savage-worlds?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5860817#item5860817,1,https://www.kicktraq.com/projects/339895023/children-of-the-apocalypse-for-savage-worlds/,non-5E,https://rpggeek.com/rpg/286/savage-worlds,,Children of the Apocalypse for Savage Worlds,31-Jan-18,Y,USD,"2,837.00",1,Not Funded,N,N,N,"$2,837 ",43.00%,Ended,0,1.61117E+12,January 1 2018,,,,
"https://www.kickstarter.com/projects/821979583/the-widows-tear-cosmic-horror-for-starfinder-revis?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5871360#item5871360,1,https://www.kicktraq.com/projects/821979583/the-widows-tear-cosmic-horror-for-starfinder-revis/,non-5E,https://rpggeek.com/rpg/43232/starfinder-system-compatible-product,,The Widow's Tear: Cosmic Horror For Starfinder (Revised),31-Jan-18,Y,USD,"14,741.00",1,"14,741.00",Y,N,Y,"$14,741 ",210.00%,Ended,14741,1.61117E+12,January 3 2018,,,,
"https://www.kickstarter.com/projects/563681582/the-folio-18-and-19-1e-and-5e-adventures?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5912500#item5912500,2,https://www.kicktraq.com/projects/563681582/the-folio-18-and-19-1e-and-5e-adventures/,5E,,,"The Folio #18 & #19, 1E & 5E Adventures",1-Feb-18,Y,USD,"6,592.00",1,"6,592.00",Y,N,Y,"$6,592 ",131.00%,Ended,6592,1.61117E+12,January 22 2018,,,,
"https://www.kickstarter.com/projects/deepdungeongames/fantasy-magic-item-cards-rpg-items-for-5e?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5862519#item5862519,1,https://www.kicktraq.com/projects/deepdungeongames/fantasy-magic-item-cards-rpg-items-for-5e/,5E,,,Fantasy Magic Item Cards: RPG Items for 5E,1-Feb-18,Y,EUR,630,1.25092,Not Funded,N,Y,N,€630,12.00%,Cancelled,0,1.61117E+12,January 2 2018,,,,
"https://www.kickstarter.com/projects/dlimedia/a-night-in-seyvoth-manor-for-dandd-5th-edition?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5864791#item5864791,1,https://www.kicktraq.com/projects/dlimedia/a-night-in-seyvoth-manor-for-dandd-5th-edition/,5E,,,"""A Night in Seyvoth Manor"" for D&D 5th Edition",1-Feb-18,Y,USD,"3,130.00",1,"3,130.00",Y,N,Y,"$3,130 ",417.00%,Ended,3130,1.61117E+12,January 2 2018,,,,
"https://www.kickstarter.com/projects/lestersmith/d13-rpg-personalized-premium-ltd-ed?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5883584#item5883584,1,https://www.kicktraq.com/projects/lestersmith/d13-rpg-personalized-premium-ltd-ed/,RPG,,,D13 RPG - Personalized Premium Ltd Ed,1-Feb-18,Y,USD,"9,222.00",1,"9,222.00",Y,N,Y,"$9,222 ",230.00%,Ended,9222,1.61117E+12,January 9 2018,,,,
"https://www.kickstarter.com/projects/1575519826/battle-star-trilogy-trek-wars?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5919824#item5919824,2,https://www.kicktraq.com/projects/1575519826/battle-star-trilogy-trek-wars/,non-5E,https://rpggeek.com/rpg/36340/alpha-blue,,Battle Star Trilogy: Trek Wars,2-Feb-18,Y,USD,"4,845.00",1,"4,845.00",Y,N,Y,"$4,845 ",323.00%,Ended,4845,1.61117E+12,January 3 2018,,,,
"https://www.kickstarter.com/projects/1074093017/from-beyond-distress-call-sci-fi-rpg-adventure?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5871372#item5871372,1,https://www.kicktraq.com/projects/1074093017/from-beyond-distress-call-sci-fi-rpg-adventure/,non-5E,https://rpggeek.com/rpg/43232/starfinder-system-compatible-product,,FROM BEYOND: DISTRESS CALL Sci-fi RPG Adventure,3-Feb-18,Y,MXN,"9,470.00",0.05374,508.92,Y,N,Y,"MX$9,470",473.00%,Ended,508.92,1.61117E+12,January 4 2018,,,,
"https://www.kickstarter.com/projects/529477987/dice-dungeons-instant-encounters-for-dnd-pathfinde?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5876165#item5876165,1,https://www.kicktraq.com/projects/529477987/dice-dungeons-instant-encounters-for-dnd-pathfinde/,5E,,,"Dice Dungeons — Instant Encounters for DND, Pathfinder, RPGs",5-Feb-18,Y,CAD,"12,206.00",0.79762,"9,735.75",Y,N,Y,"$12,206 CAD",1220.00%,Ended,9735.75,1.61117E+12,January 6 2018,,,,
"https://www.kickstarter.com/projects/1586134783/faerie-fire-a-5e-supplemental?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5881536#item5881536,1,https://www.kicktraq.com/projects/1586134783/faerie-fire-a-5e-supplemental/,5E,,,"Faerie Fire, a 5e supplemental",7-Feb-18,Y,USD,"65,495.00",1,"65,495.00",Y,N,Y,"$65,495 ",297.00%,Ended,65495,1.61117E+12,January 8 2018,,,,
"https://www.kickstarter.com/projects/197523193/infinite-galaxies-core-rules?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5881629#item5881629,1,https://www.kicktraq.com/projects/197523193/infinite-galaxies-core-rules/,RPG,,https://rpggeek.com/rpgsystem/17185/powered-apocalypse,Infinite Galaxies Core Rules,7-Feb-18,Y,USD,"6,720.00",1,"6,720.00",Y,N,Y,"$6,720 ",112.00%,Ended,6720,1.61117E+12,January 8 2018,,,,
"https://www.kickstarter.com/projects/infiniumgamestudio/flextale-encounter-generator-gm-toolkit-pathfinder?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5881780#item5881780,1,https://www.kicktraq.com/projects/infiniumgamestudio/flextale-encounter-generator-gm-toolkit-pathfinder/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,FlexTale Encounter Generator GM Toolkit (Pathfinder / 5E),8-Feb-18,Y,USD,"8,254.00",1,"8,254.00",Y,N,Y,"$8,254 ",1650.00%,Ended,8254,1.61117E+12,January 9 2018,,,,
"https://www.kickstarter.com/projects/82574073/comet-over-echo-rock-a-5th-edition-adventure-level?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5894296#item5894296,1,https://www.kicktraq.com/projects/82574073/comet-over-echo-rock-a-5th-edition-adventure-level/,5E,,,"Comet over Echo Rock, a 5th edition adventure level 2-4",10-Feb-18,Y,USD,"1,887.00",1,"1,887.00",Y,N,Y,"$1,887 ",314.00%,Ended,1887,1.61117E+12,January 13 2018,,,,
"https://www.kickstarter.com/projects/johnnylemuria/path-of-the-black-flag-anarchist-rpg-supplement?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5888293#item5888293,1,https://www.kicktraq.com/projects/johnnylemuria/path-of-the-black-flag-anarchist-rpg-supplement/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,Path of the Black Flag Anarchist RPG Supplement,10-Feb-18,Y,USD,501,1,Not Funded,N,N,N,$501 ,31.00%,Ended,0,1.61117E+12,January 11 2018,,,,
"https://www.kickstarter.com/projects/57119387/destinyquest-iv-the-raiders-of-dune-sea?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5874098#item5874098,1,https://www.kicktraq.com/projects/57119387/destinyquest-iv-the-raiders-of-dune-sea/,non-5E,https://rpggeek.com/rpg/10732/destinyquest,,DestinyQuest IV: The Raiders of Dune Sea,11-Feb-18,Y,EUR,"20,935.00",1.22522,"25,649.98",Y,N,Y,"€20,935",261.00%,Ended,25649.98,1.61117E+12,January 6 2018,,,,
"https://www.kickstarter.com/projects/modiphius/john-carter-of-mars-the-roleplaying-game?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5881564#item5881564,1,https://www.kicktraq.com/projects/modiphius/john-carter-of-mars-the-roleplaying-game/,RPG,,https://rpggeek.com/rpgsystem/34087/2d20-system,John Carter of Mars - The Roleplaying Game,11-Feb-18,Y,GBP,"228,055.00",1.3823,"315,240.43",Y,N,Y,"£228,055",1140.00%,Ended,315240.43,1.61117E+12,January 9 2018,,,,
"https://www.kickstarter.com/projects/994700393/elven-lords-revisited-a-make-100-solo-adventure?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5912344#item5912344,2,https://www.kicktraq.com/projects/994700393/elven-lords-revisited-a-make-100-solo-adventure/,non-5E,https://rpggeek.com/rpg/22742/deluxe-tunnels-trolls,,Elven Lords Revisited: a Make 100 Solo Adventure,12-Feb-18,Y,USD,"19,459.00",1,"19,459.00",Y,N,Y,"$19,459 ",216.00%,Ended,19459,1.61117E+12,January 22 2018,,,,
"https://www.kickstarter.com/projects/676918054/castles-and-crusades-monsters-and-treasures?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5919149#item5919149,2,https://www.kicktraq.com/projects/676918054/castles-and-crusades-monsters-and-treasures/,non-5E,https://rpggeek.com/rpg/509/castles-crusades,,Castles & Crusades Monsters & Treasures,13-Feb-18,Y,USD,"28,068.00",1,"28,068.00",Y,N,Y,"$28,068 ",280.00%,Ended,28068,1.61117E+12,January 26 2018,,,,1
"https://www.kickstarter.com/projects/182043854/dungeon-delve-1-tower-of-the-black-sorcerers?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5896618#item5896618,1,https://www.kicktraq.com/projects/182043854/dungeon-delve-1-tower-of-the-black-sorcerers/,non-5E,https://rpggeek.com/rpg/13239/original-dd-compatible-products,,Dungeon Delve #1: Tower of the Black Sorcerers,14-Feb-18,Y,EUR,"5,021.00",1.24666,"6,259.48",Y,N,Y,"€5,021",418.00%,Ended,6259.48,1.61117E+12,January 15 2018,,,1,
"https://www.kickstarter.com/projects/sessionzero/deck-of-magical-mystery-5e-compatible?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5899224#item5899224,2,https://www.kicktraq.com/projects/sessionzero/deck-of-magical-mystery-5e-compatible/,5E,,,Deck of Magical Mystery: 5e compatible,15-Feb-18,Y,USD,"4,055.00",1,"4,055.00",Y,N,Y,"$4,055 ",162.00%,Ended,4055,1.61117E+12,January 16 2018,,,,
