Kickstarter Link,RPGGeek List Item,RPGGeek List Page,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,,OSR Core,OSR Adjacent,,,,,,
https://www.kickstarter.com/projects/warehouse23/the-fantasy-trip-adventures?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6628282#item6628282,1,https://www.kicktraq.com/projects/warehouse23/the-fantasy-trip-adventures/,non-5E,https://rpggeek.com/rpg/445/fantasy-trip,,The Fantasy Trip Adventures,14-Jan-19,Y,USD,"53,381.00",1,"53,381.00",Y,N,Y,"$53,381 ",533.00%,Ended,53381,1.60874E+12,January 2 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/563681582/retro-1e-and-5e-fantasy-mini-adventure-set-2?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6628191#item6628191,1,https://www.kicktraq.com/projects/563681582/retro-1e-and-5e-fantasy-mini-adventure-set-2/,5E,,,Retro 1E & 5E Fantasy Mini-Adventure Set 2,16-Jan-19,Y,EUR,"3,272.00",1.13973,"3,729.20",Y,N,Y,"€3,272",€7,Ended,3729.2,1.60874E+12,January 1 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/throwigames/off-the-beaten-path-mountain-excursions?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6649755#item6649755,1,https://www.kicktraq.com/projects/throwigames/off-the-beaten-path-mountain-excursions/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,"Off the Beaten Path, Mountain Excursions",18-Jan-19,Y,USD,"1,688.00",1,"1,688.00",Y,N,Y,"$1,688 ",337.00%,Ended,1688,1.60874E+12,January 9 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/shadesofvengeance/make100-era-lyres-definitive-edition?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6622997#item6622997,1,https://www.kicktraq.com/projects/shadesofvengeance/make100-era-lyres-definitive-edition/,non-5E,https://rpggeek.com/rpg/35145/era-lyres,,Make100: Era: Lyres - Definitive Edition (& £2 Digital RPG!),20-Jan-19,Y,USD,419,1,419,Y,N,Y,$419 ,$2 ,Ended,419,1.60874E+12,January 2 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/nordgames/treacherous-traps-for-5th-edition?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6632070#item6632070,1,https://www.kicktraq.com/projects/nordgames/treacherous-traps-for-5th-edition/,5E,,,Treacherous Traps for 5th Edition!,23-Jan-19,Y,USD,"161,691.00",1,"161,691.00",Y,N,Y,"$161,691 ",3233.00%,Ended,161691,1.60874E+12,January 3 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/ckg/castles-and-crusades-den-of-iniquity?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6674406#item6674406,2,https://www.kicktraq.com/projects/676918054/castles-and-crusades-den-of-iniquity/,non-5E,https://rpggeek.com/rpg/509/castles-crusades,,Castles & Crusades: Den of Iniquity,26-Jan-19,Y,USD,"12,764.00",1,"12,764.00",Y,N,Y,"$12,764 ",1276.00%,Ended,12764,1.60874E+12,January 18 2019,,,,,1,,,,,,
https://www.kickstarter.com/projects/1610277086/in-name-only-a-name-based-fantasy-rpg-system?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6676589#item6676589,2,https://www.kicktraq.com/projects/1610277086/in-name-only-a-name-based-fantasy-rpg-system/,RPG,,,In Name Only: A Name-Based Fantasy RPG System,30-Jan-19,Y,USD,618,1,618,Y,N,Y,$618 ,618.00%,Ended,618,1.60874E+12,January 23 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/glassphoenix/goblin-farm-frenzy-alchemy-and-blood?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6657970#item6657970,1,https://www.kicktraq.com/projects/glassphoenix/goblin-farm-frenzy-alchemy-and-blood/,5E,,,Goblin Farm Frenzy: Alchemy and Blood,3-Feb-19,Y,USD,35,1,Not Funded,N,N,N,$35 ,11.00%,Ended,0,1.60874E+12,January 13 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/epidiah/wolfspell?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6674417#item6674417,2,https://www.kicktraq.com/projects/epidiah/wolfspell/,non-5E,https://rpggeek.com/rpg/24878/wolfspell,,Wolfspell,3-Feb-19,Y,EUR,"23,985.00",1.14544,"27,473.38",Y,N,Y,"€23,985",159.00%,Ended,27473.38,1.60874E+12,January 20 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/gametilewarehouse/the-temple-of-d20?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6674422#item6674422,2,https://www.kicktraq.com/projects/gametilewarehouse/the-temple-of-d20/,5E,,,The Temple of D20,4-Feb-19,Y,AUD,740,0.7211,Not Funded,N,N,N,$740 AUD,42.00%,Ended,0,1.60874E+12,January 21 2019,,,,,,,,,,,
