,,,1749593122357,,399,294,,0,,,,,"42,946.42",859,53,,,,,,,,,,,
Kickstarter Link,RPGGeek List Item,RPGGeek List Page,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,OSR Core,OSR Adjacent
https://www.kickstarter.com/projects/throwigames/a-system-neutral-ttrpg-adventure-designed-by-backers?ref=bggforums,https://rpggeek.com/geeklist/266239/item/7428588#item7428588,1,https://www.kicktraq.com/projects/throwigames/a-system-neutral-ttrpg-adventure-designed-by-backers/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,A System-Neutral TTRPG Adventure Designed by Backers,10 Jan 2020,Y,USD,419.00,1,419.00,Y,N,Y,$419,$2,Ended,419,1623075165525,January 2 2020,,,,
https://www.kickstarter.com/projects/2029996743/hexagon-role-playing-game?ref=bggforums,https://rpggeek.com/geeklist/266239/item/7437120#item7437120,1,https://www.kicktraq.com/projects/2029996743/hexagon-role-playing-game/,RPG,,x,Hexagon Role Playing Game,19 Jan 2020,Y,EUR,"1,572.00",1.10942,"1,744.01",Y,N,Y,"€1,572",€20,Ended,1744.01,1623075165526,January 9 2020,,,,
https://www.kickstarter.com/projects/apollyonpress/blood-floats-in-space-a-new-setting-for-the-mothership-rpg?ref=bggforums,https://rpggeek.com/geeklist/266239/item/7428639#item7428639,1,https://www.kicktraq.com/projects/apollyonpress/blood-floats-in-space-a-new-setting-for-the-mothership-rpg/,non-5E,https://rpggeek.com/rpg/48770/mothership,,Blood Floats in Space: A New Setting for the Mothership RPG,26 Jan 2020,Y,USD,"6,540.00",1,"6,540.00",Y,N,Y,"$6,540",436.00%,Ended,6540,1623075165528,January 6 2020,,,,1
https://www.kickstarter.com/projects/warehouse23/dungeon-fantasy-companion-2-powered-by-gurps?ref=bggforums,https://rpggeek.com/geeklist/266239/item/7467659#item7467659,2,https://www.kicktraq.com/projects/warehouse23/dungeon-fantasy-companion-2-powered-by-gurps/,non-5E,https://rpggeek.com/rpg/43235/dungeon-fantasy-roleplaying-game,,"Dungeon Fantasy Companion 2, Powered by GURPS",27 Jan 2020,Y,USD,"11,206.00",1,"11,206.00",Y,N,Y,"$11,206",224.00%,Ended,11206,1623075165529,January 20 2020,,,,
https://www.kickstarter.com/projects/spaced/ghost-ops-operation-lone-wolf?ref=bggforums,https://rpggeek.com/geeklist/266239/item/7432072#item7432072,1,https://www.kicktraq.com/projects/spaced/ghost-ops-operation-lone-wolf/,RPG,,https://rpggeek.com/rpg/54253/ghost-ops-modern-day-covert-operations-rpg,Ghost Ops - Operation Lone Wolf,28 Jan 2020,Y,GBP,"3,530.00",1.3024,"4,597.47",Y,N,Y,"£3,530",235.00%,Ended,4597.47,1623075165532,January 7 2020,,,,
https://www.kickstarter.com/projects/highergrounds/diviniti-x-deluxe-hardcover-edition?ref=bggforums,https://rpggeek.com/geeklist/266239/item/7467660#item7467660,2,https://www.kicktraq.com/projects/highergrounds/diviniti-x-deluxe-hardcover-edition/,RPG,,https://rpggeek.com/rpgsystem/17185/powered-apocalypse,Diviniti X: Deluxe Hardcover Edition,28 Jan 2020,Y,USD,"1,424.00",1,"1,424.00",Y,N,Y,"$1,424",227.00%,Ended,1424,1623075165531,January 21 2020,,,,
https://www.kickstarter.com/projects/hammerdog/chronicles-of-denoa-chapter-1-5e-rpg-setting-and-campaign?ref=bggforums,https://rpggeek.com/geeklist/266239/item/7413903#item7413903,1,https://www.kicktraq.com/projects/hammerdog/chronicles-of-denoa-chapter-1-5e-rpg-setting-and-campaign/,5E,,,Chronicles of Denoa: Chapter 1 - 5e RPG Setting & Campaign,31 Jan 2020,Y,USD,"9,247.00",,Not Funded,N,Y,Y,"$9,247",184.00%,Cancelled,0,1623075165534,January 1 2020,,,,
https://www.kickstarter.com/projects/philipreed/outdoor-encounter-cards-3-for-use-with-many-tabletop-rpgs?ref=bggforums,https://rpggeek.com/geeklist/266239/item/7467658#item7467658,2,https://www.kicktraq.com/projects/102137316/outdoor-encounter-cards-3-for-use-with-many-tabletop-rpgs/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,Outdoor Encounter Cards 3 - For use with many tabletop RPGs.,31 Jan 2020,Y,USD,"10,947.00",1,"10,947.00",Y,N,Y,"$10,947",182.00%,Ended,10947,1623075165536,January 19 2020,,,,
https://www.kickstarter.com/projects/gallantknightgames/the-heros-journey-2e?ref=bggforums,https://rpggeek.com/geeklist/266239/item/7431120#item7431120,1,https://www.kicktraq.com/projects/gallantknightgames/the-heros-journey-2e/,RPG,,https://rpggeek.com/rpg/34736/heros-journey-fantasy-roleplaying,The Hero's Journey 2e,31 Jan 2020,Y,USD,"27,738.00",1,"27,738.00",Y,N,Y,"$27,738",554.00%,Ended,27738,1623075165542,January 6 2020,,,,
https://www.kickstarter.com/projects/blackarmada/last-fleet-rpg-lastfleetrpg?ref=bggforums,https://rpggeek.com/geeklist/266239/item/7428596#item7428596,1,https://www.kicktraq.com/projects/blackarmada/last-fleet-rpg-lastfleetrpg/,RPG,,https://rpggeek.com/rpgsystem/17185/powered-apocalypse,Last Fleet RPG #lastfleetrpg,31 Jan 2020,Y,GBP,"17,992.00",1.32059,"23,760.06",Y,N,Y,"£17,992",276.00%,Ended,23760.06,1623075165538,January 2 2020,,,,
https://www.kickstarter.com/projects/jamiestephens/mafia-capo-rpg-go-rogue-and-take-down-the-mafia?ref=bggforums,https://rpggeek.com/geeklist/266239/item/7431122#item7431122,1,https://www.kicktraq.com/projects/jamiestephens/mafia-capo-rpg-go-rogue-and-take-down-the-mafia/,RPG,,,Mafia Capo - RPG - Go Rogue And Take Down The Mafia,31 Jan 2020,Y,GBP,46.00,,Not Funded,N,Y,N,£46,0.00%,Cancelled,0,1623075165540,January 6 2020,,,,
https://www.kickstarter.com/projects/2029996743/the-sky-archipelago-episode-2?ref=bggforums,https://rpggeek.com/geeklist/266239/item/7473490#item7473490,2,https://www.kicktraq.com/projects/2029996743/the-sky-archipelago-episode-2/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,The Sky Archipelago Episode 2,1 Feb 2020,Y,EUR,455.00,1.109495,504.82,Y,N,Y,€455,568.00%,Ended,504.82,1623075165545,January 22 2020,,,,
https://www.kickstarter.com/projects/gmdk/librete-an-rpg-of-lost-children?ref=bggforums,https://rpggeek.com/geeklist/266239/item/7432079#item7432079,1,https://www.kicktraq.com/projects/gmdk/librete-an-rpg-of-lost-children/,non-5E,https://rpggeek.com/rpg/42335/librete,,Libreté: an RPG of Lost Children,1 Feb 2020,Y,USD,"14,076.00",1,"14,076.00",Y,N,Y,"$14,076",187.00%,Ended,14076,1623075165543,January 7 2020,,,,
https://www.kickstarter.com/projects/techsupportcentral/the-big-book-of-dnd-5e-characters?ref=bggforums,https://rpggeek.com/geeklist/266239/item/7413906#item7413906,1,https://www.kicktraq.com/projects/techsupportcentral/the-big-book-of-dnd-5e-characters/,5E,,,The 'Big Book' of DND 5E Characters..,2 Feb 2020,Y,USD,"3,898.00",1,"3,898.00",Y,N,Y,"$3,898",779.00%,Ended,3898,1623075165546,January 1 2020,,,,
