,,,1740264674547,467,,"$1,167.12",,0,,,"83,469.82",,,"43,698.70",1237,70,31,,,5191,,,,,,,,,,
Kickstarter Link,RPGGeek List Item,RPGGeek List Page,KickTraq Link,Type,Linked RPGs ,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,,,,,OSR Core,OSR Adjacent
https://www.kickstarter.com/projects/philipreed/a-trio-of-twisted-decks-a-third-party-mork-borg-campaign?ref=discovery_category_newest,https://rpggeek.com/geeklist/280236/item/8061447#item8061447,,https://www.kicktraq.com/projects/philipreed/a-trio-of-twisted-decks-a-third-party-mork-borg-campaign/,non-5E,https://rpggeek.com/rpg/56344/mork-borg,,"A Trio of Twisted Decks, a Third-Party Mörk Borg Campaign",January 3 2021,Y,USD,"8,826.00",1,"8,826.00",Y,N,Y,"$8,826",882.00%,Ended,8826,1645138605298,January 2 2021,"Created under the third-party license for the Mörk Borg roleplaying game, these three decks expand your game in new ways.",,"[size=14][b][url=https://www.kickstarter.com/projects/philipreed/a-trio-of-twisted-decks-a-third-party-mork-borg-campaign?ref=discovery_category_newest]A Trio of Twisted Decks, a Third-Party Mörk Borg Campaign[/url][/b][/size][q]Created under the third-party license for the Mörk Borg roleplaying game, these three decks expand your game in new ways.[/q][floatleft][inlineimg][/inlineimg][/floatleft][b]Deadline:[/b]01-03-2021[url=https://www.kicktraq.com/projects/philipreed/a-trio-of-twisted-decks-a-third-party-mork-borg-campaign/][IMG]https://www.kicktraq.com/projects/philipreed/a-trio-of-twisted-decks-a-third-party-mork-borg-campaign//minichart.png[/IMG][/url]","$1,000.68",,,,1
https://www.kickstarter.com/projects/ericfrombloatgames/the-monsters-are-our-heroes-print-tabletop-rpg-zine/posts,https://rpggeek.com/geeklist/280236/item/8061450#item8061450,,https://www.kicktraq.com/projects/ericfrombloatgames/the-monsters-are-our-heroes-print-tabletop-rpg-zine/,RPG,,,The Monsters Are Our Heroes Print Tabletop RPG Zine,January 14 2021,Y,USD,"3,544.00",1,"3,544.00",Y,N,Y,"$3,544",1012.00%,Ended,3544,1645138605300,January 1 2021,Make/100 limited edition RPG print zine project by Bloat Games.,https://ksr-ugc.imgix.net/assets/031/834/818/1f4c5b160e8fffd6e748e114c90fcbc7_original.png?ixlib=rb-2.1.0&crop=faces&w=160&h=90&fit=crop&v=1608928649&auto=format&frame=1&q=92&s=b460f443d38371bd8a86a4c83c72bdcb,[size=14][b][url=https://www.kickstarter.com/projects/ericfrombloatgames/the-monsters-are-our-heroes-print-tabletop-rpg-zine/posts]The Monsters Are Our Heroes Print Tabletop RPG Zine[/url][/b][/size][q]Make/100 limited edition RPG print zine project by Bloat Games.[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/031/834/818/1f4c5b160e8fffd6e748e114c90fcbc7_original.png?ixlib=rb-2.1.0&crop=faces&w=160&h=90&fit=crop&v=1608928649&auto=format&frame=1&q=92&s=b460f443d38371bd8a86a4c83c72bdcb[/inlineimg][/floatleft][b]Deadline:[/b]01-14-2021[url=https://www.kicktraq.com/projects/ericfrombloatgames/the-monsters-are-our-heroes-print-tabletop-rpg-zine/][IMG]https://www.kicktraq.com/projects/ericfrombloatgames/the-monsters-are-our-heroes-print-tabletop-rpg-zine//minichart.png[/IMG][/url],$350.20,,,,
https://www.kickstarter.com/projects/enworld/enchanted-trinkets-ii-for-dandd-5th-edition?ref=discovery_category_newest,https://rpggeek.com/geeklist/280236/item/8068196#item8068196,,https://www.kicktraq.com/projects/enworld/enchanted-trinkets-ii-for-dandd-5th-edition/,5E,,,Enchanted Trinkets II for D&D 5th Edition,January 19 2021,Y,GBP,"16,228.00",1.364365,"22,140.92",Y,N,Y,"£16,228",3245.00%,Ended,22140.92,1645138605301,January 5 2021,More enchanted trinkets for your 5th Edition game in a new softcover compilation!,https://ksr-ugc.imgix.net/assets/031/909/349/033c9f1cd6a9673733cc3f0d48337bd0_original.jpg?ixlib=rb-2.1.0&crop=faces&w=160&h=90&fit=crop&v=1609784320&auto=format&frame=1&q=92&s=0a52b6848ed56e9d902a85e728f4c37b,[size=14][b][url=https://www.kickstarter.com/projects/enworld/enchanted-trinkets-ii-for-dandd-5th-edition?ref=discovery_category_newest]Enchanted Trinkets II for D&D 5th Edition[/url][/b][/size][q]More enchanted trinkets for your 5th Edition game in a new softcover compilation![/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/031/909/349/033c9f1cd6a9673733cc3f0d48337bd0_original.jpg?ixlib=rb-2.1.0&crop=faces&w=160&h=90&fit=crop&v=1609784320&auto=format&frame=1&q=92&s=0a52b6848ed56e9d902a85e728f4c37b[/inlineimg][/floatleft][b]Deadline:[/b]01-19-2021[url=https://www.kicktraq.com/projects/enworld/enchanted-trinkets-ii-for-dandd-5th-edition/][IMG]https://www.kicktraq.com/projects/enworld/enchanted-trinkets-ii-for-dandd-5th-edition//minichart.png[/IMG][/url],$682.31,,,,
https://www.kickstarter.com/projects/legendarygames/mythos-monsters-40-lovecraftian-horrors-for-dnd-5e?ref=discovery_category_newest,https://rpggeek.com/geeklist/280236/item/8068197#item8068197,,https://www.kicktraq.com/projects/legendarygames/mythos-monsters-40-lovecraftian-horrors-for-dnd-5e/,5E,,,Mythos Monsters: 40+ Lovecraftian horrors for DnD 5E,January 20 2021,Y,USD,"31,397.00",1,"31,397.00",Y,N,Y,"$31,397",6279.00%,Ended,31397,1645138605304,January 5 2021,"Add a touch of horror to your DnD 5E game with this beautiful bestiary of over 40 eldritch beasts, mythos minions, and Great Old Ones!",https://ksr-ugc.imgix.net/assets/031/836/317/43ec28d0621d815505be668512853e0e_original.jpg?ixlib=rb-2.1.0&crop=faces&w=160&h=90&fit=crop&v=1608952203&auto=format&frame=1&q=92&s=bb0d645e7303a73e62ad388691d7fea5,"[size=14][b][url=https://www.kickstarter.com/projects/legendarygames/mythos-monsters-40-lovecraftian-horrors-for-dnd-5e?ref=discovery_category_newest]Mythos Monsters: 40+ Lovecraftian horrors for DnD 5E[/url][/b][/size][q]Add a touch of horror to your DnD 5E game with this beautiful bestiary of over 40 eldritch beasts, mythos minions, and Great Old Ones![/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/031/836/317/43ec28d0621d815505be668512853e0e_original.jpg?ixlib=rb-2.1.0&crop=faces&w=160&h=90&fit=crop&v=1608952203&auto=format&frame=1&q=92&s=bb0d645e7303a73e62ad388691d7fea5[/inlineimg][/floatleft][b]Deadline:[/b]01-20-2021[url=https://www.kicktraq.com/projects/legendarygames/mythos-monsters-40-lovecraftian-horrors-for-dnd-5e/][IMG]https://www.kicktraq.com/projects/legendarygames/mythos-monsters-40-lovecraftian-horrors-for-dnd-5e//minichart.png[/IMG][/url]",$500.03,,,,
https://www.kickstarter.com/projects/mathewreuther/bespoke-roleplaying-game-content-a-make-100-project/description,,,https://www.kicktraq.com/projects/mathewreuther/bespoke-roleplaying-game-content-a-make-100-project/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,Bespoke Roleplaying Game Content - A Make 100 Project,January 22 2021,Y,USD,471.00,1,471.00,Y,N,Y,$471,134.00%,Ended,471,1645138605306,January 1 2021,Custom roleplaying game content packs crafted with passion for your gaming pleasure. ,https://ksr-ugc.imgix.net/assets/031/832/005/0c6e934be098d21be79c5e4de474a2af_original.png?ixlib=rb-2.1.0&crop=faces&w=160&h=90&fit=crop&v=1608881753&auto=format&frame=1&q=92&s=d2f954866f8689fc88ca5e78634af328,[size=14][b][url=https://www.kickstarter.com/projects/mathewreuther/bespoke-roleplaying-game-content-a-make-100-project/description]Bespoke Roleplaying Game Content - A Make 100 Project[/url][/b][/size][q]Custom roleplaying game content packs crafted with passion for your gaming pleasure. [/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/031/832/005/0c6e934be098d21be79c5e4de474a2af_original.png?ixlib=rb-2.1.0&crop=faces&w=160&h=90&fit=crop&v=1608881753&auto=format&frame=1&q=92&s=d2f954866f8689fc88ca5e78634af328[/inlineimg][/floatleft][b]Deadline:[/b]01-22-2021[url=https://www.kicktraq.com/projects/mathewreuther/bespoke-roleplaying-game-content-a-make-100-project/][IMG]https://www.kicktraq.com/projects/mathewreuther/bespoke-roleplaying-game-content-a-make-100-project//minichart.png[/IMG][/url],$351.49,,,,
https://www.kickstarter.com/projects/warehouse23/steve-jackson-games-gurps-pyramid-scheme?ref=discovery_category_newest,https://rpggeek.com/geeklist/280236/item/8091865#item8091865,,https://www.kicktraq.com/projects/warehouse23/steve-jackson-games-gurps-pyramid-scheme/,non-5E,https://rpggeek.com/rpg/332/gurps-4th-edition,,Steve Jackson Games' GURPS Pyramid Scheme,January 26 2021,Y,USD,"34,523.00",1,"34,523.00",Y,N,Y,"$34,523",2301.00%,Ended,34523,1645138605308,January 18 2021,"Pyramid returns with three new issues! GURPS support for fantasy, modern, and sci-fi campaigns! Select one, two, or all three issues!",https://ksr-ugc.imgix.net/assets/031/753/152/8314170c403efc4ebdbb851e2a48bc78_original.png?ixlib=rb-2.1.0&crop=faces&w=160&h=90&fit=crop&v=1608057809&auto=format&frame=1&q=92&s=28575b60afbe2f95aa46ca6519d8958f,"[size=14][b][url=https://www.kickstarter.com/projects/warehouse23/steve-jackson-games-gurps-pyramid-scheme?ref=discovery_category_newest]Steve Jackson Games' GURPS Pyramid Scheme[/url][/b][/size][q]Pyramid returns with three new issues! GURPS support for fantasy, modern, and sci-fi campaigns! Select one, two, or all three issues![/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/031/753/152/8314170c403efc4ebdbb851e2a48bc78_original.png?ixlib=rb-2.1.0&crop=faces&w=160&h=90&fit=crop&v=1608057809&auto=format&frame=1&q=92&s=28575b60afbe2f95aa46ca6519d8958f[/inlineimg][/floatleft][b]Deadline:[/b]01-26-2021[url=https://www.kicktraq.com/projects/warehouse23/steve-jackson-games-gurps-pyramid-scheme/][IMG]https://www.kicktraq.com/projects/warehouse23/steve-jackson-games-gurps-pyramid-scheme//minichart.png[/IMG][/url]","$1,500.35",,,,
https://www.kickstarter.com/projects/292543184/coils-of-chaos?ref=discovery_category_newest,https://rpggeek.com/geeklist/280236/item/8082248#item8082248,,https://www.kicktraq.com/projects/292543184/coils-of-chaos/,RPG,,,Coils of Chaos,January 27 2021,Y,USD,"2,116.00",1,"2,116.00",Y,N,Y,"$2,116",423.00%,Ended,2116,1645138605310,January 12 2021,"A tabletop RPG set in a weird future full of magic, mutants, and monsters.",https://ksr-ugc.imgix.net/assets/031/943/968/2faee0c08ccfe2a146152cd6806b8071_original.png?ixlib=rb-2.1.0&crop=faces&w=160&h=90&fit=crop&v=1610051174&auto=format&frame=1&q=92&s=59ebea587a2e9779645b4a3c1face565,"[size=14][b][url=https://www.kickstarter.com/projects/292543184/coils-of-chaos?ref=discovery_category_newest]Coils of Chaos[/url][/b][/size][q]A tabletop RPG set in a weird future full of magic, mutants, and monsters.[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/031/943/968/2faee0c08ccfe2a146152cd6806b8071_original.png?ixlib=rb-2.1.0&crop=faces&w=160&h=90&fit=crop&v=1610051174&auto=format&frame=1&q=92&s=59ebea587a2e9779645b4a3c1face565[/inlineimg][/floatleft][b]Deadline:[/b]01-27-2021[url=https://www.kicktraq.com/projects/292543184/coils-of-chaos/][IMG]https://www.kicktraq.com/projects/292543184/coils-of-chaos//minichart.png[/IMG][/url]",$500.24,,,,
https://www.kickstarter.com/projects/thegrinningfrog/vastrals-guide?ref=discovery_category_newest,https://rpggeek.com/geeklist/280236/item/8072466#item8072466,,https://www.kicktraq.com/projects/thegrinningfrog/vastrals-guide/,5E,,,Vastral's Guide to Magical Oddities for 5e,January 28 2021,Y,GBP,"4,500.00",1.3724,"6,175.80",Y,N,Y,"£4,500",300.00%,Ended,6175.8,1645138605313,January 7 2021,Make 100: Limited Edition Book of detailed magic items for 5e. Signed and numbered.,https://ksr-ugc.imgix.net/assets/031/855/628/b3f0a6ba0c134499254f374a2b216ab5_original.jpg?ixlib=rb-2.1.0&crop=faces&w=160&h=90&fit=crop&v=1609202061&auto=format&frame=1&q=92&s=038dec4003b71135c9d83cf8857539c7,[size=14][b][url=https://www.kickstarter.com/projects/thegrinningfrog/vastrals-guide?ref=discovery_category_newest]Vastral's Guide to Magical Oddities for 5e[/url][/b][/size][q]Make 100: Limited Edition Book of detailed magic items for 5e. Signed and numbered.[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/031/855/628/b3f0a6ba0c134499254f374a2b216ab5_original.jpg?ixlib=rb-2.1.0&crop=faces&w=160&h=90&fit=crop&v=1609202061&auto=format&frame=1&q=92&s=038dec4003b71135c9d83cf8857539c7[/inlineimg][/floatleft][b]Deadline:[/b]01-28-2021[url=https://www.kicktraq.com/projects/thegrinningfrog/vastrals-guide/][IMG]https://www.kicktraq.com/projects/thegrinningfrog/vastrals-guide//minichart.png[/IMG][/url],"$2,058.60",,,,
https://www.kickstarter.com/projects/byemberandash/corpsewake-cove-for-mork-borg?ref=discovery_category_newest,https://rpggeek.com/geeklist/280236/item/8080528#item8080528,,https://www.kicktraq.com/projects/byemberandash/corpsewake-cove-for-mork-borg/,non-5E,https://rpggeek.com/rpg/56344/mork-borg,,Corpsewake Cove for Mörk Borg,January 28 2021,Y,USD,"11,769.00",1,"11,769.00",Y,N,Y,"$11,769",2353.00%,Ended,11769,1645138605318,January 12 2021,"FIGHT PIRATES, GET REVENGE, and STEAL THEIR FUCKING TREASURE!",https://ksr-ugc.imgix.net/assets/031/990/143/5a42344b3d7d31fb3fe0b7554d0ba93a_original.png?ixlib=rb-2.1.0&crop=faces&w=160&h=90&fit=crop&v=1610464407&auto=format&frame=1&q=92&s=a6e881ae81ea2d326a7b70b30880ba7f,"[size=14][b][url=https://www.kickstarter.com/projects/byemberandash/corpsewake-cove-for-mork-borg?ref=discovery_category_newest]Corpsewake Cove for Mörk Borg[/url][/b][/size][q]FIGHT PIRATES, GET REVENGE, and STEAL THEIR FUCKING TREASURE![/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/031/990/143/5a42344b3d7d31fb3fe0b7554d0ba93a_original.png?ixlib=rb-2.1.0&crop=faces&w=160&h=90&fit=crop&v=1610464407&auto=format&frame=1&q=92&s=a6e881ae81ea2d326a7b70b30880ba7f[/inlineimg][/floatleft][b]Deadline:[/b]01-28-2021[url=https://www.kicktraq.com/projects/byemberandash/corpsewake-cove-for-mork-borg/][IMG]https://www.kicktraq.com/projects/byemberandash/corpsewake-cove-for-mork-borg//minichart.png[/IMG][/url]",$500.17,,,,1
