,,365,1740264705041,,516,441,,Project Name,,0,,,188.00,,,,,,68,,,,,,,,,,,
Kickstarter Link,RPGGeek List Item,RPGGeek List Page,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,,,,LevelUSD,OSR Core,OSR Adjacent
https://www.kickstarter.com/projects/theteakettlellc/eldendale-love-and-luck?ref=discovery_category_newest,https://rpggeek.com/geeklist/293485/item/8686064#item8686064,,https://www.kicktraq.com/projects/theteakettlellc/eldendale-love-and-luck/,5E,,,Eldendale: Love and Luck,January 16 2022,Y,USD,775.00,1,775.00,Y,N,Y,$775,387.00%,Ended,775,1676332269529,January 1 2022,What's more romantic than demonic invasion?,https://ksr-ugc.imgix.net/assets/035/959/607/4f8e745b3a3d9711e06e0b9422e4d39c_original.jpg?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1640974821&auto=format&frame=1&q=92&s=6459617c3873f9cbf45121911b997784,[size=14][b][url=https://www.kickstarter.com/projects/theteakettlellc/eldendale-love-and-luck?ref=discovery_category_newest]Eldendale: Love and Luck[/url][/b][/size][q]What's more romantic than demonic invasion?[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/035/959/607/4f8e745b3a3d9711e06e0b9422e4d39c_original.jpg?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1640974821&auto=format&frame=1&q=92&s=6459617c3873f9cbf45121911b997784[/inlineimg][/floatleft][b]Deadline:[/b]01-16-2022[url=https://www.kicktraq.com/projects/theteakettlellc/eldendale-love-and-luck/][IMG]https://www.kicktraq.com/projects/theteakettlellc/eldendale-love-and-luck//minichart.png[/IMG][/url],$200.26,,775.00,,
https://www.kickstarter.com/projects/limitless-adventures/limitless-monsters-vol2-5e?ref=discovery_category_newest,https://rpggeek.com/geeklist/293485/item/8701340#item8701340,,https://www.kicktraq.com/projects/limitless-adventures/limitless-monsters-vol2-5e/,5E,,,Limitless Monsters vol.2 (5e),January 21 2022,Y,USD,"24,083.00",1,"24,083.00",Y,N,Y,"$24,083",481.00%,Ended,24083,1676332269530,January 3 2022,100 new 5e monsters!,https://ksr-ugc.imgix.net/assets/035/945/236/6c979cf20f3a0302d8598edb38be203a_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1640794779&auto=format&frame=1&q=92&s=24a4bb26f8c6a95a1075756d142d5b85,[size=14][b][url=https://www.kickstarter.com/projects/limitless-adventures/limitless-monsters-vol2-5e?ref=discovery_category_newest]Limitless Monsters vol.2 (5e)[/url][/b][/size][q]100 new 5e monsters![/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/035/945/236/6c979cf20f3a0302d8598edb38be203a_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1640794779&auto=format&frame=1&q=92&s=24a4bb26f8c6a95a1075756d142d5b85[/inlineimg][/floatleft][b]Deadline:[/b]01-21-2022[url=https://www.kicktraq.com/projects/limitless-adventures/limitless-monsters-vol2-5e/][IMG]https://www.kicktraq.com/projects/limitless-adventures/limitless-monsters-vol2-5e//minichart.png[/IMG][/url],"$5,006.86",,"24,083.00",,
https://www.kickstarter.com/projects/lfosr/horizon-rising?ref=discovery_category_newest,https://rpggeek.com/geeklist/293485/item/8714108#item8714108,,https://www.kicktraq.com/projects/lfosr/horizon-rising/,non-5E,https://rpggeek.com/rpgfamily/27257/retro-clones,,HORIZON RISING,January 23 2022,Y,USD,"43,345.00",1,"43,345.00",Y,N,Y,"$43,345",722.00%,Ended,43345,1676332269531,January 11 2022,A sinking system-neutral sandbox setting sourcebook,https://ksr-ugc.imgix.net/assets/035/996/755/e8e72ba8754962eb0165b4b581b33dd3_original.jpg?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1641440070&auto=format&frame=1&q=92&s=145f1af67ec1dc1fb0528dcfb46fcd97,[size=14][b][url=https://www.kickstarter.com/projects/lfosr/horizon-rising?ref=discovery_category_newest]HORIZON RISING[/url][/b][/size][q]A sinking system-neutral sandbox setting sourcebook[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/035/996/755/e8e72ba8754962eb0165b4b581b33dd3_original.jpg?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1641440070&auto=format&frame=1&q=92&s=145f1af67ec1dc1fb0528dcfb46fcd97[/inlineimg][/floatleft][b]Deadline:[/b]01-23-2022[url=https://www.kicktraq.com/projects/lfosr/horizon-rising/][IMG]https://www.kicktraq.com/projects/lfosr/horizon-rising//minichart.png[/IMG][/url],"$6,003.46",,"43,345.00",,1
https://www.kickstarter.com/projects/adventuresquared/two-minute-taverns-1?ref=discovery_category_newest,https://rpggeek.com/geeklist/293485/item/8714123#item8714123,,https://www.kicktraq.com/projects/adventuresquared/two-minute-taverns-1/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,Two-Minute Taverns-£1,January 24 2022,Y,GBP,99.00,1.3491,133.56,Y,N,Y,£99,330.00%,Ended,133.56,1676332269532,January 10 2022,A series of random tables to help Games Master's create unique Taverns for their RPG campaigns.,https://ksr-ugc.imgix.net/assets/035/998/241/f79266584d7e4ebcc52f5e069c0a5be1_original.jpg?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1641460997&auto=format&frame=1&q=92&s=4f52ec411a2547bd2216f23ae6cdd1d5,[size=14][b][url=https://www.kickstarter.com/projects/adventuresquared/two-minute-taverns-1?ref=discovery_category_newest]Two-Minute Taverns-£1[/url][/b][/size][q]A series of random tables to help Games Master's create unique Taverns for their RPG campaigns.[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/035/998/241/f79266584d7e4ebcc52f5e069c0a5be1_original.jpg?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1641460997&auto=format&frame=1&q=92&s=4f52ec411a2547bd2216f23ae6cdd1d5[/inlineimg][/floatleft][b]Deadline:[/b]01-24-2022[url=https://www.kicktraq.com/projects/adventuresquared/two-minute-taverns-1/][IMG]https://www.kicktraq.com/projects/adventuresquared/two-minute-taverns-1//minichart.png[/IMG][/url],$40.47,,133.56,,
https://www.kickstarter.com/projects/philipreed/mimics-an-unnecessary-work-for-use-with-fantasy-rpgs?ref=discovery_category_newest,https://rpggeek.com/geeklist/293485/item/8714118#item8714118,,https://www.kicktraq.com/projects/philipreed/mimics-an-unnecessary-work-for-use-with-fantasy-rpgs/,non-5E,https://rpggeek.com/rpgfamily/27257/retro-clones,,"Mimics, An Unnecessary Work, for Use With Fantasy RPGs",January 27 2022,Y,USD,"33,085.00",1,"33,085.00",Y,N,Y,"$33,085",330.00%,Ended,33085,1676332269533,January 11 2022,"This is completely worthless and should be avoided. You do not need a haphazard and random selection of mimic ideas, right?",https://ksr-ugc.imgix.net/assets/035/054/758/2ee23c0d2e10237f532850927e3363b1_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1632920921&auto=format&frame=1&q=92&s=ae99fb6844648313644c6dd8e6419f11,"[size=14][b][url=https://www.kickstarter.com/projects/philipreed/mimics-an-unnecessary-work-for-use-with-fantasy-rpgs?ref=discovery_category_newest]Mimics, An Unnecessary Work, for Use With Fantasy RPGs[/url][/b][/size][q]This is completely worthless and should be avoided. You do not need a haphazard and random selection of mimic ideas, right?[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/035/054/758/2ee23c0d2e10237f532850927e3363b1_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1632920921&auto=format&frame=1&q=92&s=ae99fb6844648313644c6dd8e6419f11[/inlineimg][/floatleft][b]Deadline:[/b]01-27-2022[url=https://www.kicktraq.com/projects/philipreed/mimics-an-unnecessary-work-for-use-with-fantasy-rpgs/][IMG]https://www.kicktraq.com/projects/philipreed/mimics-an-unnecessary-work-for-use-with-fantasy-rpgs//minichart.png[/IMG][/url]","$10,025.76",,"33,085.00",,1
https://www.kickstarter.com/projects/tylerlindsey/using-dead-things-birthing-living-things?ref=discovery_category_newest,https://rpggeek.com/geeklist/293485/item/8720005#item8720005,,https://www.kicktraq.com/projects/tylerlindsey/using-dead-things-birthing-living-things/,non-5E,https://rpggeek.com/rpg/56344/mork-borg,,Using Dead Things | Birthing Living Things,January 28 2022,Y,USD,"5,769.00",1,"5,769.00",Y,N,Y,"$5,769",576.00%,Ended,5769,1676332269534,January 14 2022,"Crafting, improvement, and animal husbandry rules for Mörk Borg",https://ksr-ugc.imgix.net/assets/036/068/948/0d86da78d06c5fb706212f884b02b75b_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1642185952&auto=format&frame=1&q=92&s=24c1203d48617eec9deb4284f50d5412,"[size=14][b][url=https://www.kickstarter.com/projects/tylerlindsey/using-dead-things-birthing-living-things?ref=discovery_category_newest]Using Dead Things | Birthing Living Things[/url][/b][/size][q]Crafting, improvement, and animal husbandry rules for Mörk Borg[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/036/068/948/0d86da78d06c5fb706212f884b02b75b_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1642185952&auto=format&frame=1&q=92&s=24c1203d48617eec9deb4284f50d5412[/inlineimg][/floatleft][b]Deadline:[/b]01-28-2022[url=https://www.kicktraq.com/projects/tylerlindsey/using-dead-things-birthing-living-things/][IMG]https://www.kicktraq.com/projects/tylerlindsey/using-dead-things-birthing-living-things//minichart.png[/IMG][/url]","$1,001.56",,"5,769.00",,1
https://www.kickstarter.com/projects/culverinmodels/expedition-to-chimpanzor-island-a-5e-adventure-relaunch?ref=discovery_category_newest,https://rpggeek.com/geeklist/293485/item/8701318#item8701318,,https://www.kicktraq.com/projects/culverinmodels/expedition-to-chimpanzor-island-a-5e-adventure-relaunch/,5E,,,Expedition to Chimpanzor Island: A 5e Adventure RELAUNCH,January 29 2022,Y,GBP,"1,014.00",1.339835,"1,358.59",Y,N,Y,"£1,014",405.00%,Ended,1358.59,1676332269535,January 4 2022,"A tropical island port, whispers of treasure on the wind and monsters lurking in the jungle, will you survive the expedition?",https://ksr-ugc.imgix.net/assets/035/968/144/1cf7411a06b6dda8ea97296970512a2e_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1641124360&auto=format&frame=1&q=92&s=1e69a0a1e9b7836b4c08bf7890c3ed87,"[size=14][b][url=https://www.kickstarter.com/projects/culverinmodels/expedition-to-chimpanzor-island-a-5e-adventure-relaunch?ref=discovery_category_newest]Expedition to Chimpanzor Island: A 5e Adventure RELAUNCH[/url][/b][/size][q]A tropical island port, whispers of treasure on the wind and monsters lurking in the jungle, will you survive the expedition?[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/035/968/144/1cf7411a06b6dda8ea97296970512a2e_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1641124360&auto=format&frame=1&q=92&s=1e69a0a1e9b7836b4c08bf7890c3ed87[/inlineimg][/floatleft][b]Deadline:[/b]01-29-2022[url=https://www.kicktraq.com/projects/culverinmodels/expedition-to-chimpanzor-island-a-5e-adventure-relaunch/][IMG]https://www.kicktraq.com/projects/culverinmodels/expedition-to-chimpanzor-island-a-5e-adventure-relaunch//minichart.png[/IMG][/url]",$335.45,,"1,358.59",,
https://www.kickstarter.com/projects/the-oracle-rpg/the-oracle-issue-19-rpg-magazine?ref=discovery_category_newest,https://rpggeek.com/geeklist/293485/item/8736363#item8736363,,https://www.kicktraq.com/projects/the-oracle-rpg/the-oracle-issue-19-rpg-magazine/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,The Oracle Issue 19 RPG Magazine,January 30 2022,Y,GBP,"1,037.00",1.3398,"1,389.37",Y,N,Y,"£1,037",1037.00%,Ended,1389.37,1676332269536,January 21 2022,"New creatures, locations, monsters, encounters, trinkets and treasures, magic items and more!",https://ksr-ugc.imgix.net/assets/036/088/780/f6ee945132ccbcef7cd44094da52b415_original.jpg?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1642423554&auto=format&frame=1&q=92&s=92bebcfa61727ad0ea0668fb0c4cc7ef,"[size=14][b][url=https://www.kickstarter.com/projects/the-oracle-rpg/the-oracle-issue-19-rpg-magazine?ref=discovery_category_newest]The Oracle Issue 19 RPG Magazine[/url][/b][/size][q]New creatures, locations, monsters, encounters, trinkets and treasures, magic items and more![/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/036/088/780/f6ee945132ccbcef7cd44094da52b415_original.jpg?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1642423554&auto=format&frame=1&q=92&s=92bebcfa61727ad0ea0668fb0c4cc7ef[/inlineimg][/floatleft][b]Deadline:[/b]01-30-2022[url=https://www.kicktraq.com/projects/the-oracle-rpg/the-oracle-issue-19-rpg-magazine/][IMG]https://www.kicktraq.com/projects/the-oracle-rpg/the-oracle-issue-19-rpg-magazine//minichart.png[/IMG][/url]",$133.98,,"1,389.37",,
https://www.kickstarter.com/projects/458886079/orrinyaths-guide-to-dragons?ref=discovery_category_newest,https://rpggeek.com/geeklist/293485/item/8724920#item8724920,,https://www.kicktraq.com/projects/458886079/orrinyaths-guide-to-dragons/,5E,,,Orrinyath's Guide to Dragons,January 31 2022,Y,USD,"11,255.00",1,"11,255.00",Y,N,Y,"$11,255",2251.00%,Ended,11255,1676332269537,January 16 2022,A 'zine-size 5e sourcebook to fighting against and playing as dragons.,https://ksr-ugc.imgix.net/assets/036/081/487/6764eb09fc606bfb558d35749d67de57_original.jpg?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1642346725&auto=format&frame=1&q=92&s=680a1ce1fc5b842601098e888f85a196,[size=14][b][url=https://www.kickstarter.com/projects/458886079/orrinyaths-guide-to-dragons?ref=discovery_category_newest]Orrinyath's Guide to Dragons[/url][/b][/size][q]A 'zine-size 5e sourcebook to fighting against and playing as dragons.[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/036/081/487/6764eb09fc606bfb558d35749d67de57_original.jpg?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1642346725&auto=format&frame=1&q=92&s=680a1ce1fc5b842601098e888f85a196[/inlineimg][/floatleft][b]Deadline:[/b]01-31-2022[url=https://www.kicktraq.com/projects/458886079/orrinyaths-guide-to-dragons/][IMG]https://www.kicktraq.com/projects/458886079/orrinyaths-guide-to-dragons//minichart.png[/IMG][/url],$500.00,,"11,255.00",,
