,,,1753138800762,,2,,522,Project Name,,0,,,"5,221.50",1502,,,,,,,,,,,,,,,,
Kickstarter Link,RPGGeek List Item,RPGGeek List Page,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,,,,LevelUSD,OSR Core,OSR Adjacent
https://www.kickstarter.com/projects/458886079/western-5e/?ref=kicktraq,https://rpggeek.com/geeklist/309024/kickstarter-rpg-game-books-2023?itemid=9447057#item9447057,,https://www.kicktraq.com/projects/458886079/western-5e/,5E,,,Western 5e,January 19 2023,Y,USD,"5,813.00",1,"5,813.00",Y,N,Y,"$5,813",1162.00%,Ended,5813,1707436214908,January 3 2023,Five 5e classes with grit,https://ksr-ugc.imgix.net/assets/039/581/045/55ff19c28a90ab651070ff9ab9a4ac7d_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1672775815&auto=format&frame=1&q=92&s=e6afc3219c0a062921c37aa0dbbba5b0,[size=14][b][url=https://www.kickstarter.com/projects/458886079/western-5e/?ref=kicktraq]Western 5e[/url][/b][/size][q]Five 5e classes with grit[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/039/581/045/55ff19c28a90ab651070ff9ab9a4ac7d_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1672775815&auto=format&frame=1&q=92&s=e6afc3219c0a062921c37aa0dbbba5b0[/inlineimg][/floatleft][b]Deadline:[/b]01-19-2023[url=https://www.kicktraq.com/projects/458886079/western-5e/][IMG]https://www.kicktraq.com/projects/458886079/western-5e//minichart.png[/IMG][/url],$500.26,,"5,813.00",,
https://www.kickstarter.com/projects/darkestgod/better-1-weapons-for-dandd-5e-and-sacred-weapons/?ref=kicktraq,https://rpggeek.com/geeklist/309024/kickstarter-rpg-game-books-2023?itemid=9458926#item9458926,,https://www.kicktraq.com/projects/darkestgod/better-1-weapons-for-dandd-5e-and-sacred-weapons/,5E,,,better +1 weapons for D&D and Mythological weapons,January 20 2023,Y,MXN,"1,959.00",0.05297876,Not Funded,N,N,N,"MX$1,959",27.00%,Ended,0,1707436214910,January 9 2023,"Bored of leveling up and getting a boring +1 longsword, instead of that, what about a cool +1 katana or a macahuitle?",https://ksr-ugc.imgix.net/assets/037/450/332/78862c4eaa609ea1fca76c98eecf591a_original.PNG?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1653611491&auto=format&frame=1&q=92&s=c1f98c502b44e6e3bad202d59289d6f7,"[size=14][b][url=https://www.kickstarter.com/projects/darkestgod/better-1-weapons-for-dandd-5e-and-sacred-weapons/?ref=kicktraq]better +1 weapons for D&D and Mythological weapons[/url][/b][/size][q]Bored of leveling up and getting a boring +1 longsword, instead of that, what about a cool +1 katana or a macahuitle?[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/037/450/332/78862c4eaa609ea1fca76c98eecf591a_original.PNG?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1653611491&auto=format&frame=1&q=92&s=c1f98c502b44e6e3bad202d59289d6f7[/inlineimg][/floatleft][b]Deadline:[/b]01-20-2023[url=https://www.kicktraq.com/projects/darkestgod/better-1-weapons-for-dandd-5e-and-sacred-weapons/][IMG]https://www.kicktraq.com/projects/darkestgod/better-1-weapons-for-dandd-5e-and-sacred-weapons//minichart.png[/IMG][/url]",,384.3903364,,,
https://www.kickstarter.com/projects/odos/one-dollar-one-shot-the-curse-of-king-culainn/?ref=kicktraq,https://rpggeek.com/geeklist/309024/kickstarter-rpg-game-books-2023?itemid=9458902#item9458902,,https://www.kicktraq.com/projects/odos/one-dollar-one-shot-the-curse-of-king-culainn/,5E,,,$1 Dollar one Shot - The Curse of King Culainn,January 20 2023,Y,USD,"7,633.00",1,"7,633.00",Y,N,Y,"$7,633",3053.00%,Ended,7633,1707436214911,January 10 2023,"Epic one shot with new encounter, NPCs, magic items, maps and more.",https://ksr-ugc.imgix.net/assets/039/636/151/96fd8ab69bc33e61a5cac52ec5eca694_original.jpg?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1673375803&auto=format&frame=1&q=92&s=596b9f866d2c82e7642d1071e9b7e61d,"[size=14][b][url=https://www.kickstarter.com/projects/odos/one-dollar-one-shot-the-curse-of-king-culainn/?ref=kicktraq]$1 Dollar one Shot - The Curse of King Culainn[/url][/b][/size][q]Epic one shot with new encounter, NPCs, magic items, maps and more.[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/039/636/151/96fd8ab69bc33e61a5cac52ec5eca694_original.jpg?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1673375803&auto=format&frame=1&q=92&s=596b9f866d2c82e7642d1071e9b7e61d[/inlineimg][/floatleft][b]Deadline:[/b]01-20-2023[url=https://www.kicktraq.com/projects/odos/one-dollar-one-shot-the-curse-of-king-culainn/][IMG]https://www.kicktraq.com/projects/odos/one-dollar-one-shot-the-curse-of-king-culainn//minichart.png[/IMG][/url]",$250.02,,"7,633.00",,
https://www.kickstarter.com/projects/dungeonepics/a-very-first-heist/?ref=kicktraq,https://rpggeek.com/geeklist/309024/kickstarter-rpg-game-books-2023?itemid=9458908#item9458908,,https://www.kicktraq.com/projects/dungeonepics/a-very-first-heist/,5E,,,A Very First Heist,January 22 2023,Y,USD,"3,949.00",1,"3,949.00",Y,N,Y,"$3,949",1316.00%,Ended,3949,1707436214913,January 10 2023,Infiltrate and manipulate an underground auction in order to procure a valuable item in this beginner-friendly adventure for 5e!,https://ksr-ugc.imgix.net/assets/039/521/779/8a426fc7de7ebd860920bd56899b203d_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1671825611&auto=format&frame=1&q=92&s=8ce391843e717711e4e081ca0207898d,[size=14][b][url=https://www.kickstarter.com/projects/dungeonepics/a-very-first-heist/?ref=kicktraq]A Very First Heist[/url][/b][/size][q]Infiltrate and manipulate an underground auction in order to procure a valuable item in this beginner-friendly adventure for 5e![/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/039/521/779/8a426fc7de7ebd860920bd56899b203d_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1671825611&auto=format&frame=1&q=92&s=8ce391843e717711e4e081ca0207898d[/inlineimg][/floatleft][b]Deadline:[/b]01-22-2023[url=https://www.kicktraq.com/projects/dungeonepics/a-very-first-heist/][IMG]https://www.kicktraq.com/projects/dungeonepics/a-very-first-heist//minichart.png[/IMG][/url],$300.08,,"3,949.00",,
https://www.kickstarter.com/projects/burninglightpress/preposterous-potions/?ref=kicktraq,https://rpggeek.com/geeklist/309024/kickstarter-rpg-game-books-2023?itemid=9447066#item9447066,,https://www.kicktraq.com/projects/burninglightpress/preposterous-potions/,5E,https://rpggeek.com/rpgfamily/27257/retro-clones,,Preposterous Potions,January 24 2023,Y,AUD,"25,118.00",0.70346,"17,669.51",Y,N,Y,"$25,118 AUD",334.00%,Ended,17669.51,1707436214914,January 3 2023,"Make100: A cavalcade of 100 new Preposterous Potions for your favorite TTRPGs, from 5e to OSR.",https://ksr-ugc.imgix.net/assets/039/715/780/58868dd98c95d0e0b966b04123db5b11_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1674176293&auto=format&frame=1&q=92&s=8ce623744b3b87230090ef57535b4d8a,"[size=14][b][url=https://www.kickstarter.com/projects/burninglightpress/preposterous-potions/?ref=kicktraq]Preposterous Potions[/url][/b][/size][q]Make100: A cavalcade of 100 new Preposterous Potions for your favorite TTRPGs, from 5e to OSR.[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/039/715/780/58868dd98c95d0e0b966b04123db5b11_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1674176293&auto=format&frame=1&q=92&s=8ce623744b3b87230090ef57535b4d8a[/inlineimg][/floatleft][b]Deadline:[/b]01-24-2023[url=https://www.kicktraq.com/projects/burninglightpress/preposterous-potions/][IMG]https://www.kicktraq.com/projects/burninglightpress/preposterous-potions//minichart.png[/IMG][/url]","$5,290.27",,"17,669.51",,1
https://www.kickstarter.com/projects/mad-games/walk-the-plank-a-swashbuckling-dandd-5e-pirate-adventure/?ref=kicktraq,https://rpggeek.com/geeklist/309024/kickstarter-rpg-game-books-2023?itemid=9440067#item9440067,,https://www.kicktraq.com/projects/mad-games/walk-the-plank-a-swashbuckling-dandd-5e-pirate-adventure/,5E,,,"Walk the Plank, a swashbuckling D&D 5e Pirate Adventure",January 24 2023,Y,USD,"12,576.00",1,"12,576.00",Y,N,Y,"$12,576",5030.00%,Ended,12576,1707436214915,January 3 2023,"Search for treasure, battle monsters, and solve puzzles in this Pirate-Themed D&D 5e adventure for 3-5 players!",https://ksr-ugc.imgix.net/assets/039/588/606/63c400d44f2ec3cc65bcdc12a4f25232_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1672857482&auto=format&frame=1&q=92&s=b1807e5509e7a5be854c7caa9ebfb22f,"[size=14][b][url=https://www.kickstarter.com/projects/mad-games/walk-the-plank-a-swashbuckling-dandd-5e-pirate-adventure/?ref=kicktraq]Walk the Plank, a swashbuckling D&D 5e Pirate Adventure[/url][/b][/size][q]Search for treasure, battle monsters, and solve puzzles in this Pirate-Themed D&D 5e adventure for 3-5 players![/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/039/588/606/63c400d44f2ec3cc65bcdc12a4f25232_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1672857482&auto=format&frame=1&q=92&s=b1807e5509e7a5be854c7caa9ebfb22f[/inlineimg][/floatleft][b]Deadline:[/b]01-24-2023[url=https://www.kicktraq.com/projects/mad-games/walk-the-plank-a-swashbuckling-dandd-5e-pirate-adventure/][IMG]https://www.kicktraq.com/projects/mad-games/walk-the-plank-a-swashbuckling-dandd-5e-pirate-adventure//minichart.png[/IMG][/url]",$250.02,,"12,576.00",,
https://www.kickstarter.com/projects/stoneworksgaming/grymwyrd-tales-volume-3-and-4/?ref=kicktraq,https://rpggeek.com/geeklist/309024/kickstarter-rpg-game-books-2023?itemid=9460822#item9460822,,https://www.kicktraq.com/projects/stoneworksgaming/grymwyrd-tales-volume-3-and-4/,5E,,,GrymWyrd Tales - Volume 3 & 4,January 24 2023,Y,USD,"3,114.00",1,"3,114.00",Y,N,Y,"$3,114",1038.00%,Ended,3114,1707436214916,January 11 2023,A double dose of weird horror adventures for 5e to round out our digital anthology!,https://ksr-ugc.imgix.net/assets/039/636/532/a5ce627d3262b48cfc9f2a324239ee64_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1673378828&auto=format&frame=1&q=92&s=2477e562d40aa66c6dfb807d1f9da291,[size=14][b][url=https://www.kickstarter.com/projects/stoneworksgaming/grymwyrd-tales-volume-3-and-4/?ref=kicktraq]GrymWyrd Tales - Volume 3 & 4[/url][/b][/size][q]A double dose of weird horror adventures for 5e to round out our digital anthology![/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/039/636/532/a5ce627d3262b48cfc9f2a324239ee64_original.png?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1673378828&auto=format&frame=1&q=92&s=2477e562d40aa66c6dfb807d1f9da291[/inlineimg][/floatleft][b]Deadline:[/b]01-24-2023[url=https://www.kicktraq.com/projects/stoneworksgaming/grymwyrd-tales-volume-3-and-4/][IMG]https://www.kicktraq.com/projects/stoneworksgaming/grymwyrd-tales-volume-3-and-4//minichart.png[/IMG][/url],$300.00,,"3,114.00",,
https://www.kickstarter.com/projects/verantheacodex/oops-all-dragons-45-new-dragons-for-dandd-5e/?ref=kicktraq,https://rpggeek.com/geeklist/309024/kickstarter-rpg-game-books-2023?itemid=9440061#item9440061,,https://www.kicktraq.com/projects/verantheacodex/oops-all-dragons-45-new-dragons-for-dandd-5e/,5E,https://rpggeek.com/rpg/72676/level-advanced-5th-edition,,Oops! All Dragons | 45 New Dragons for D&D 5E and Level Up!,January 26 2023,Y,USD,"6,438.00",1,"6,438.00",Y,N,Y,"$6,438",1287.00%,Ended,6438,1707436214920,January 3 2023,Uh-oh—we forgot the dungeons and all we have are dragons!,https://ksr-ugc.imgix.net/assets/039/579/081/595e347aa96db30615d3c323891c4d47_original.jpg?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1672758532&auto=format&frame=1&q=92&s=3c331262b6d599f3b7a7ccc770997595,[size=14][b][url=https://www.kickstarter.com/projects/verantheacodex/oops-all-dragons-45-new-dragons-for-dandd-5e/?ref=kicktraq]Oops! All Dragons | 45 New Dragons for D&D 5E and Level Up![/url][/b][/size][q]Uh-oh—we forgot the dungeons and all we have are dragons![/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/039/579/081/595e347aa96db30615d3c323891c4d47_original.jpg?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1672758532&auto=format&frame=1&q=92&s=3c331262b6d599f3b7a7ccc770997595[/inlineimg][/floatleft][b]Deadline:[/b]01-26-2023[url=https://www.kicktraq.com/projects/verantheacodex/oops-all-dragons-45-new-dragons-for-dandd-5e/][IMG]https://www.kicktraq.com/projects/verantheacodex/oops-all-dragons-45-new-dragons-for-dandd-5e//minichart.png[/IMG][/url],$500.23,,"6,438.00",,
https://www.kickstarter.com/projects/limitless-adventures/limitless-non-player-characters-vol-2/?ref=kicktraq,https://rpggeek.com/geeklist/309024/kickstarter-rpg-game-books-2023?itemid=9440052#item9440052,,https://www.kicktraq.com/projects/limitless-adventures/limitless-non-player-characters-vol-2/,5E,,,Limitless Non-Player Characters vol. 2,January 26 2023,Y,USD,"27,036.00",1,"27,036.00",Y,N,Y,"$27,036",1081.00%,Ended,27036,1707436214919,January 3 2023,"100 detailed NPCs for your #dnd5e game, includes stats, treasure, and 300 adventure ideas!",https://ksr-ugc.imgix.net/assets/039/447/490/7ca0e7e8568a0a944cfa8f4e4db1d0c6_original.jpg?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1670863740&auto=format&frame=1&q=92&s=2c3659428ff7ee9fdfd688dbec33011f,"[size=14][b][url=https://www.kickstarter.com/projects/limitless-adventures/limitless-non-player-characters-vol-2/?ref=kicktraq]Limitless Non-Player Characters vol. 2[/url][/b][/size][q]100 detailed NPCs for your #dnd5e game, includes stats, treasure, and 300 adventure ideas![/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/039/447/490/7ca0e7e8568a0a944cfa8f4e4db1d0c6_original.jpg?ixlib=rb-4.0.2&crop=faces&w=160&h=90&fit=crop&v=1670863740&auto=format&frame=1&q=92&s=2c3659428ff7ee9fdfd688dbec33011f[/inlineimg][/floatleft][b]Deadline:[/b]01-26-2023[url=https://www.kicktraq.com/projects/limitless-adventures/limitless-non-player-characters-vol-2/][IMG]https://www.kicktraq.com/projects/limitless-adventures/limitless-non-player-characters-vol-2//minichart.png[/IMG][/url]","$2,501.02",,"27,036.00",,
