,,,1754522970792,,,,,,,,,,,,,,,,,,,2025-10-24,,,,,,,,
Kickstarter Link,RPGGeek List Item,RPGGeek List Page,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,,,,LevelUSD,OSR Original,OSR Scene
https://www.kickstarter.com/projects/wastelandsaga1/spy-20-a-roleplaying-game-of-action-and-espionage/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=10891580#10891580,,https://kicktraq.com/projects/wastelandsaga1/spy-20-a-roleplaying-game-of-action-and-espionage/,RPG,`,https://rpggeek.com/rpg/40696/spy-a-game-of-action-and-espionage,Spy 2.0 - a roleplaying game of action and espionage,August 7 2024,Y,USD,"3,852.00",1,"3,852.00",Y,N,Y,"$3,852",128.00%,Ended,3852,1739812326589,July 8 2024,A Spy tabletop RPG inspired by Mission Impossible and Metal Gear Solid.,https://i.kickstarter.com/assets/045/660/007/d53f227b9c115b9edd08eb065b6259af_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=DwUFS%2Bh2VHrBcnMJF4pnpHbTxCr3r00ENfKeIh4DSsE%3D,[size=14][b][url=https://www.kickstarter.com/projects/wastelandsaga1/spy-20-a-roleplaying-game-of-action-and-espionage/?ref=kicktraq]Spy 2.0 - a roleplaying game of action and espionage[/url][/b][/size][q]A Spy tabletop RPG inspired by Mission Impossible and Metal Gear Solid.[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/045/660/007/d53f227b9c115b9edd08eb065b6259af_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=DwUFS%2Bh2VHrBcnMJF4pnpHbTxCr3r00ENfKeIh4DSsE%3D[/inlineimg][/floatleft][b]Deadline:[/b]08-07-2024[url=https://kicktraq.com/projects/wastelandsaga1/spy-20-a-roleplaying-game-of-action-and-espionage/][IMG]https://kicktraq.com/projects/wastelandsaga1/spy-20-a-roleplaying-game-of-action-and-espionage//minichart.png[/IMG][/url],"$3,009.38",,"3,852.00",,
https://www.kickstarter.com/projects/surgeryhead/squishy-the-mall-at-midnight/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=10527952#10527952,,https://kicktraq.com/projects/surgeryhead/squishy-the-mall-at-midnight/,non-5E,https://rpggeek.com/rpg/100235/squishy,,SQUISHY: THE MALL AT MIDNIGHT,March 19 2024,Y,EUR,798.00,1.086395,866.94,Y,N,Y,€798,113.00%,Ended,866.94,1739812326195,February 8 2024,A mind-rending new expansion for the SQUISHY horror roleplaying system based on Urbex and paranormal gang warfare!,https://ksr-ugc.imgix.net/assets/043/942/897/83ddb9a18333d37ba5e5d9b17b1d14dc_original.jpg?ixlib=rb-4.1.0&crop=faces&w=160&h=90&fit=crop&v=1707415818&auto=format&frame=1&q=92&s=1ad79aadb3235759437c2e26e5d7525e,[size=14][b][url=https://www.kickstarter.com/projects/surgeryhead/squishy-the-mall-at-midnight/?ref=kicktraq]SQUISHY: THE MALL AT MIDNIGHT[/url][/b][/size][q]A mind-rending new expansion for the SQUISHY horror roleplaying system based on Urbex and paranormal gang warfare![/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/043/942/897/83ddb9a18333d37ba5e5d9b17b1d14dc_original.jpg?ixlib=rb-4.1.0&crop=faces&w=160&h=90&fit=crop&v=1707415818&auto=format&frame=1&q=92&s=1ad79aadb3235759437c2e26e5d7525e[/inlineimg][/floatleft][b]Deadline:[/b]03-19-2024[url=https://kicktraq.com/projects/surgeryhead/squishy-the-mall-at-midnight/][IMG]https://kicktraq.com/projects/surgeryhead/squishy-the-mall-at-midnight//minichart.png[/IMG][/url],$767.21,,866.94,,
https://www.kickstarter.com/projects/jochergames/oceania-2084-the-orwellian-ttrpg/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=10691021#10691021,,https://kicktraq.com/projects/jochergames/oceania-2084-the-orwellian-ttrpg/,non-5E,https://rpggeek.com/rpg/100386/oceania-2084,,Oceania 2084 - the Orwellian TTRPG,May 10 2024,Y,EUR,"10,914.00",1.07885,"11,774.57",Y,N,Y,"€10,914",121.00%,Ended,11774.57,1739812326351,April 10 2024,"A game about resistance against a totalitarian world, ushered in by ecological collapse and authoritarian populism.",https://i.kickstarter.com/assets/044/516/845/729af4020d233d0245d3cf0e715c1e3d_original.jpg?anim=false&fit=crop&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=yc67HJSNJ2G5cMBtTWSrjHIRdcoWPZyF2ehvbs2OJxc%3D,"[size=14][b][url=https://www.kickstarter.com/projects/jochergames/oceania-2084-the-orwellian-ttrpg/?ref=kicktraq]Oceania 2084 - the Orwellian TTRPG[/url][/b][/size][q]A game about resistance against a totalitarian world, ushered in by ecological collapse and authoritarian populism.[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/044/516/845/729af4020d233d0245d3cf0e715c1e3d_original.jpg?anim=false&fit=crop&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=yc67HJSNJ2G5cMBtTWSrjHIRdcoWPZyF2ehvbs2OJxc%3D[/inlineimg][/floatleft][b]Deadline:[/b]05-10-2024[url=https://kicktraq.com/projects/jochergames/oceania-2084-the-orwellian-ttrpg/][IMG]https://kicktraq.com/projects/jochergames/oceania-2084-the-orwellian-ttrpg//minichart.png[/IMG][/url]","$9,731.05",,"11,774.57",,
https://www.kickstarter.com/projects/quasigrant/veil-of-the-eternal-night-dark-fantasy-for-5e-and-mythcraft/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=10467747#10467747,,https://kicktraq.com/projects/quasigrant/veil-of-the-eternal-night-dark-fantasy-for-5e-and-mythcraft/,5E,https://rpggeek.com/rpg/100807/mythcraft,,Veil of the Eternal Night: Dark Fantasy for 5e and MythCraft,March 1 2024,Y,USD,"454,638.00",1,"454,638.00",Y,N,Y,"$454,638",2273.00%,Ended,454638,1739812326102,January 30 2024,Massive D&D 5e and MythCraft Tome + Campaign. Tabletop Roleplaying Gothic Horror & Vampire Hunting inspired by Dark Fantasy Legends.,https://ksr-ugc.imgix.net/assets/043/834/415/52742676daab8e2726f405b8376ccca3_original.jpg?ixlib=rb-4.1.0&crop=faces&w=160&h=90&fit=crop&v=1706620202&auto=format&frame=1&q=92&s=b4bb84b5d5bf6b8d6feefbe67ed1ed2a,[size=14][b][url=https://www.kickstarter.com/projects/quasigrant/veil-of-the-eternal-night-dark-fantasy-for-5e-and-mythcraft/?ref=kicktraq]Veil of the Eternal Night: Dark Fantasy for 5e and MythCraft[/url][/b][/size][q]Massive D&D 5e and MythCraft Tome + Campaign. Tabletop Roleplaying Gothic Horror & Vampire Hunting inspired by Dark Fantasy Legends.[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/043/834/415/52742676daab8e2726f405b8376ccca3_original.jpg?ixlib=rb-4.1.0&crop=faces&w=160&h=90&fit=crop&v=1706620202&auto=format&frame=1&q=92&s=b4bb84b5d5bf6b8d6feefbe67ed1ed2a[/inlineimg][/floatleft][b]Deadline:[/b]03-01-2024[url=https://kicktraq.com/projects/quasigrant/veil-of-the-eternal-night-dark-fantasy-for-5e-and-mythcraft/][IMG]https://kicktraq.com/projects/quasigrant/veil-of-the-eternal-night-dark-fantasy-for-5e-and-mythcraft//minichart.png[/IMG][/url],"$20,001.67",,"454,638.00",,
https://www.kickstarter.com/projects/watt/cloud-empress-life-and-death/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=10644122#10644122,,https://kicktraq.com/projects/watt/cloud-empress-life-and-death/,non-5E,https://rpggeek.com/rpg/100809/cloud-empress,,Cloud Empress: Life & Death,April 25 2024,Y,USD,"129,900.00",1,"129,900.00",Y,N,Y,"$129,900",1732.00%,Ended,129900,1739812326304,April 2 2024,The ecological science fantasy Mothership setting returns with two deluxe expansions in lands of spores and ash.,https://ksr-ugc.imgix.net/assets/044/545/098/6967a3088199b89b0af12c8b22af8a1e_original.jpg?ixlib=rb-4.1.0&crop=faces&w=160&h=90&fit=crop&v=1711999849&auto=format&frame=1&q=92&s=69d16b1e28a76b18c31cd35d51da8aee,[size=14][b][url=https://www.kickstarter.com/projects/watt/cloud-empress-life-and-death/?ref=kicktraq]Cloud Empress: Life & Death[/url][/b][/size][q]The ecological science fantasy Mothership setting returns with two deluxe expansions in lands of spores and ash.[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/044/545/098/6967a3088199b89b0af12c8b22af8a1e_original.jpg?ixlib=rb-4.1.0&crop=faces&w=160&h=90&fit=crop&v=1711999849&auto=format&frame=1&q=92&s=69d16b1e28a76b18c31cd35d51da8aee[/inlineimg][/floatleft][b]Deadline:[/b]04-25-2024[url=https://kicktraq.com/projects/watt/cloud-empress-life-and-death/][IMG]https://kicktraq.com/projects/watt/cloud-empress-life-and-death//minichart.png[/IMG][/url],"$7,500.00",,"129,900.00",,1
https://www.kickstarter.com/projects/ravensridge/cartograph-atlas-edition-a-solo-mapmaking-ttrpg/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=10527946#10527946,,https://kicktraq.com/projects/ravensridge/cartograph-atlas-edition-a-solo-mapmaking-ttrpg/,non-5E,https://rpggeek.com/rpg/100946/cartograph,,🗺️ Cartograph - Atlas Edition: A Mapmaking TTRPG,February 23 2024,Y,AUD,"63,432.00",0.65548,"41,578.41",Y,N,Y,"$63,432 AUD",1585.00%,Ended,41578.41,1739812326057,February 6 2024,"A GM-less mapmaking TTRPG about journaling, exploration, worldbuilding, and resource management for lovers of DnD 5e and other systems",https://ksr-ugc.imgix.net/assets/043/922/550/70567f6532d0678b8b6ca6bdab01e68a_original.png?ixlib=rb-4.1.0&crop=faces&w=160&h=90&fit=crop&v=1707261527&auto=format&frame=1&q=92&s=6ed3e5071a1279ffe92ee87b634c1396,"[size=14][b][url=https://www.kickstarter.com/projects/ravensridge/cartograph-atlas-edition-a-solo-mapmaking-ttrpg/?ref=kicktraq]🗺️ Cartograph - Atlas Edition: A Mapmaking TTRPG[/url][/b][/size][q]A GM-less mapmaking TTRPG about journaling, exploration, worldbuilding, and resource management for lovers of DnD 5e and other systems[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/043/922/550/70567f6532d0678b8b6ca6bdab01e68a_original.png?ixlib=rb-4.1.0&crop=faces&w=160&h=90&fit=crop&v=1707261527&auto=format&frame=1&q=92&s=6ed3e5071a1279ffe92ee87b634c1396[/inlineimg][/floatleft][b]Deadline:[/b]02-23-2024[url=https://kicktraq.com/projects/ravensridge/cartograph-atlas-edition-a-solo-mapmaking-ttrpg/][IMG]https://kicktraq.com/projects/ravensridge/cartograph-atlas-edition-a-solo-mapmaking-ttrpg//minichart.png[/IMG][/url]","$2,623.24",,"41,578.41",,
https://www.kickstarter.com/projects/1710384861/sake-sorcerers-adventures-kings-and-economics-rulebook/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=10691045#10691045,,https://kicktraq.com/projects/1710384861/sake-sorcerers-adventures-kings-and-economics-rulebook/,non-5E,https://rpggeek.com/rpg/101186/sake-sorcerers-adventurers-kings-and-economics,,"SAKE (Sorcerers, Adventures, Kings, and Economics) Rulebook",May 17 2024,Y,USD,"7,725.00",1,Not Funded,N,N,N,"$7,725",72.00%,Ended,0,1739812326366,April 9 2024,TTRPG that blends strategy game elements with fantasy game - adventure in the wilds and build up Your domain. www.sake.ee,https://i.kickstarter.com/assets/044/033/950/2add4ab58c7425892593bfb2446b720b_original.jpg?anim=false&fit=crop&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=yp6H5i3i4sXLBfYKoTpVmivOwjVMS%2FgF%2BPCQFpatv20%3D,"[size=14][b][url=https://www.kickstarter.com/projects/1710384861/sake-sorcerers-adventures-kings-and-economics-rulebook/?ref=kicktraq]SAKE (Sorcerers, Adventures, Kings, and Economics) Rulebook[/url][/b][/size][q]TTRPG that blends strategy game elements with fantasy game - adventure in the wilds and build up Your domain. www.sake.ee[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/044/033/950/2add4ab58c7425892593bfb2446b720b_original.jpg?anim=false&fit=crop&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=yp6H5i3i4sXLBfYKoTpVmivOwjVMS%2FgF%2BPCQFpatv20%3D[/inlineimg][/floatleft][b]Deadline:[/b]05-17-2024[url=https://kicktraq.com/projects/1710384861/sake-sorcerers-adventures-kings-and-economics-rulebook/][IMG]https://kicktraq.com/projects/1710384861/sake-sorcerers-adventures-kings-and-economics-rulebook//minichart.png[/IMG][/url]",,10729.16667,,,
https://www.kickstarter.com/projects/1710384861/sake-sorcerers-adventures-kings-and-economics/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=10874726#10874726,,https://kicktraq.com/projects/1710384861/sake-sorcerers-adventures-kings-and-economics/,non-5E,https://rpggeek.com/rpg/101186/sake-sorcerers-adventurers-kings-and-economics,,"SAKE (Sorcerers, Adventures, Kings, and Economics)",July 28 2024,Y,USD,"5,043.00",1,"5,043.00",Y,N,Y,"$5,043",1008.00%,Ended,5043,1739812326563,July 2 2024,TTRPG that blends strategy game elements with fantasy game.,https://i.kickstarter.com/assets/045/128/703/f7daf640b123f573f5e2ca0f973669b4_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=M92QU1joLP1WjoRes%2BLiqZEMwcE2kOclLR8UvfQtq0c%3D,"[size=14][b][url=https://www.kickstarter.com/projects/1710384861/sake-sorcerers-adventures-kings-and-economics/?ref=kicktraq]SAKE (Sorcerers, Adventures, Kings, and Economics)[/url][/b][/size][q]TTRPG that blends strategy game elements with fantasy game.[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/045/128/703/f7daf640b123f573f5e2ca0f973669b4_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=M92QU1joLP1WjoRes%2BLiqZEMwcE2kOclLR8UvfQtq0c%3D[/inlineimg][/floatleft][b]Deadline:[/b]07-28-2024[url=https://kicktraq.com/projects/1710384861/sake-sorcerers-adventures-kings-and-economics/][IMG]https://kicktraq.com/projects/1710384861/sake-sorcerers-adventures-kings-and-economics//minichart.png[/IMG][/url]",$500.30,,"5,043.00",,
https://www.kickstarter.com/projects/outridercreative/sweet-revenge/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=10915175#10915175,,https://kicktraq.com/projects/outridercreative/sweet-revenge/,non-5E,https://rpggeek.com/rpg/101287/perils-and-princesses,,Sweet Revenge,August 15 2024,Y,USD,"36,881.00",1,"36,881.00",Y,N,Y,"$36,881",1229.00%,Ended,36881,1739812326611,July 16 2024,A Fairy Tale Role-Playing Campaign for Perils & Princesses,https://i.kickstarter.com/assets/044/411/087/1f38ceee92587e46c85d9aa12330f353_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=LalEqjkLPqbMK3X6Ouep%2BNHpko1uX%2FmbusnN5ittjOg%3D,[size=14][b][url=https://www.kickstarter.com/projects/outridercreative/sweet-revenge/?ref=kicktraq]Sweet Revenge[/url][/b][/size][q]A Fairy Tale Role-Playing Campaign for Perils & Princesses[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/044/411/087/1f38ceee92587e46c85d9aa12330f353_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=LalEqjkLPqbMK3X6Ouep%2BNHpko1uX%2FmbusnN5ittjOg%3D[/inlineimg][/floatleft][b]Deadline:[/b]08-15-2024[url=https://kicktraq.com/projects/outridercreative/sweet-revenge/][IMG]https://kicktraq.com/projects/outridercreative/sweet-revenge//minichart.png[/IMG][/url],"$3,000.90",,"36,881.00",,
