,,,1765838930138,,,,,77,,,,,,,,,,,,,,2025-10-24,,,,,,,
Kickstarter Link,RPGGeek List Item,RPGGeek List Page,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,Blurb,Image Link,Geeklist Code,"TrueLevelUSD (""Not Funded"" = 0)",Funding Goal,OSR Original,OSR Scene
https://www.kickstarter.com/projects/drenproductionsgames/shadowstone-hollow-3-adventure-collection/?ref=kicktraq,https://rpggeek.com/geeklist/349660/kickstarter-rpg-game-books-2025?itemid=11393625#11393625,,https://kicktraq.com/projects/drenproductionsgames/shadowstone-hollow-3-adventure-collection/,5E,,,Shadowstone Hollow - 3 Adventure Collection!,January 9 2025,Y,USD,"3,594.00",1,"3,594.00",Y,N,Y,"$3,594",3594.00%,Ended,3594,1765839024826,January 3 2025,3 brand new D&D adventures set within the village of Shadowstone Hollow.,https://i.kickstarter.com/assets/047/703/283/a4ed75a85c1a3952f55192964c572e50_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1735742668&width=160&sig=NisJrZfIcwQiIkKZ%2B5WRcFyK%2FXY5pbWgw%2Fqp1eLs474%3D,[size=14][b][url=https://www.kickstarter.com/projects/drenproductionsgames/shadowstone-hollow-3-adventure-collection/?ref=kicktraq]Shadowstone Hollow - 3 Adventure Collection![/url][/b][/size][q]3 brand new D&D adventures set within the village of Shadowstone Hollow.[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/047/703/283/a4ed75a85c1a3952f55192964c572e50_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1735742668&width=160&sig=NisJrZfIcwQiIkKZ%2B5WRcFyK%2FXY5pbWgw%2Fqp1eLs474%3D[/inlineimg][/floatleft][b]Deadline:[/b]01-09-2025[url=https://kicktraq.com/projects/drenproductionsgames/shadowstone-hollow-3-adventure-collection/][IMG]https://kicktraq.com/projects/drenproductionsgames/shadowstone-hollow-3-adventure-collection//minichart.png[/IMG][/url],3594,100,,
https://www.kickstarter.com/projects/bettagames/gone-snowballin-cozy-dandd-5e-one-shot-pay-what-you-want/?ref=kicktraq,https://rpggeek.com/geeklist/349660/kickstarter-rpg-game-books-2025?itemid=11416727#11416727,,https://kicktraq.com/projects/bettagames/gone-snowballin-cozy-dandd-5e-one-shot-pay-what-you-want/,5E,,,Gone Snowballin' - Cozy D&D 5e One-Shot | Pay What You Want,January 12 2025,Y,USD,130.00,1,130.00,Y,N,Y,$130,260.00%,Ended,130,1765839024828,January 6 2025,A wonderfully cozy winter one-shot where adventurers engage in a joyfully competitive battle for snowball supremacy!,https://i.kickstarter.com/assets/047/682/812/dc9a3a17e477d0176fb500631dadb16a_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1735496672&width=160&sig=PhQQkYaUlFX8O0YEUi069rwjBJHjexzLri%2BTYHia%2BKE%3D,[size=14][b][url=https://www.kickstarter.com/projects/bettagames/gone-snowballin-cozy-dandd-5e-one-shot-pay-what-you-want/?ref=kicktraq]Gone Snowballin' - Cozy D&D 5e One-Shot | Pay What You Want[/url][/b][/size][q]A wonderfully cozy winter one-shot where adventurers engage in a joyfully competitive battle for snowball supremacy![/q][floatleft][inlineimg]https://i.kickstarter.com/assets/047/682/812/dc9a3a17e477d0176fb500631dadb16a_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1735496672&width=160&sig=PhQQkYaUlFX8O0YEUi069rwjBJHjexzLri%2BTYHia%2BKE%3D[/inlineimg][/floatleft][b]Deadline:[/b]01-12-2025[url=https://kicktraq.com/projects/bettagames/gone-snowballin-cozy-dandd-5e-one-shot-pay-what-you-want/][IMG]https://kicktraq.com/projects/bettagames/gone-snowballin-cozy-dandd-5e-one-shot-pay-what-you-want//minichart.png[/IMG][/url],130,50,,
https://www.kickstarter.com/projects/rotp/osmoria-adventures-dandd-5e-adventures/?ref=kicktraq,https://rpggeek.com/geeklist/349660/kickstarter-rpg-game-books-2025?itemid=11401227#11401227,,https://kicktraq.com/projects/rotp/osmoria-adventures-dandd-5e-adventures/,5E,,,Osmoria Adventures - D&D 5e | Two New Adventures!,January 20 2025,Y,USD,796.00,1,796.00,Y,N,Y,$796,7959.00%,Ended,796,1765839024829,January 5 2025,We have two exciting new D&D 5e adventures - Rise of the Ember Queen & The Twilight Lantern.,https://i.kickstarter.com/assets/047/636/006/f41349b1ba071cf1696dbeeeec7e6a87_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1734810943&width=160&sig=De4Jmo9xxSpYT6JKMB5DEqrji6EWrCoOog1gh8i2BdM%3D,[size=14][b][url=https://www.kickstarter.com/projects/rotp/osmoria-adventures-dandd-5e-adventures/?ref=kicktraq]Osmoria Adventures - D&D 5e | Two New Adventures![/url][/b][/size][q]We have two exciting new D&D 5e adventures - Rise of the Ember Queen & The Twilight Lantern.[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/047/636/006/f41349b1ba071cf1696dbeeeec7e6a87_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1734810943&width=160&sig=De4Jmo9xxSpYT6JKMB5DEqrji6EWrCoOog1gh8i2BdM%3D[/inlineimg][/floatleft][b]Deadline:[/b]01-20-2025[url=https://kicktraq.com/projects/rotp/osmoria-adventures-dandd-5e-adventures/][IMG]https://kicktraq.com/projects/rotp/osmoria-adventures-dandd-5e-adventures//minichart.png[/IMG][/url],796,10.00125644,,
https://www.kickstarter.com/projects/thirdkingdom/populated-hexes-monthly-issue-42/?ref=kicktraq,https://rpggeek.com/geeklist/349660/kickstarter-rpg-game-books-2025?itemid=11416680#11416680,,https://kicktraq.com/projects/thirdkingdom/populated-hexes-monthly-issue-42/,non-5E,https://rpggeek.com/rpg/58009/old-school-essentials-retro-adventure-game,,Populated Hexes Monthly Issue 42,January 21 2025,Y,USD,347.00,1,347.00,Y,N,Y,$347,347.00%,Ended,347,1765839024830,January 7 2025,"Demons, demons, demons!",https://i.kickstarter.com/assets/047/705/021/9b2acb3266f64450ee9b8a840a9b1961_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1735761463&width=160&sig=scQmT5kLeTGO0bMPZGFvfRbYjW9fflu%2BSY6qsgdvtQY%3D,"[size=14][b][url=https://www.kickstarter.com/projects/thirdkingdom/populated-hexes-monthly-issue-42/?ref=kicktraq]Populated Hexes Monthly Issue 42[/url][/b][/size][q]Demons, demons, demons![/q][floatleft][inlineimg]https://i.kickstarter.com/assets/047/705/021/9b2acb3266f64450ee9b8a840a9b1961_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1735761463&width=160&sig=scQmT5kLeTGO0bMPZGFvfRbYjW9fflu%2BSY6qsgdvtQY%3D[/inlineimg][/floatleft][b]Deadline:[/b]01-21-2025[url=https://kicktraq.com/projects/thirdkingdom/populated-hexes-monthly-issue-42/][IMG]https://kicktraq.com/projects/thirdkingdom/populated-hexes-monthly-issue-42//minichart.png[/IMG][/url]",347,100,1,
https://www.kickstarter.com/projects/crumblingkeep/bekirs-battlers-a-new-era-of-wooden-minis/?ref=kicktraq,https://rpggeek.com/geeklist/349660/kickstarter-rpg-game-books-2025?itemid=11416699#11416699,,https://kicktraq.com/projects/crumblingkeep/bekirs-battlers-a-new-era-of-wooden-minis/,non-5E,https://rpggeek.com/rpg/58009/old-school-essentials-retro-adventure-game | https://rpggeek.com/rpg/356/generic-universal,,Bekir's Battlers - A New Era of Wooden Minis.,January 21 2025,Y,USD,"3,504.00",1,"3,504.00",Y,N,Y,"$3,504",878.00%,Ended,3504,1765839024832,January 7 2025,Two sets of wooden minis by Mustafa Bekir for all your favorite fantasy games- Goblin Horde of the Underdeep and Heroes of Yore.,https://i.kickstarter.com/assets/047/759/583/00295092b9389d8f8600a73ea4f4734c_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1736273436&width=160&sig=BDaW3Kmd2eGNZpSniyiTr7gYSWN2OZxkqlYyzKq3JKo%3D,[size=14][b][url=https://www.kickstarter.com/projects/crumblingkeep/bekirs-battlers-a-new-era-of-wooden-minis/?ref=kicktraq]Bekir's Battlers - A New Era of Wooden Minis.[/url][/b][/size][q]Two sets of wooden minis by Mustafa Bekir for all your favorite fantasy games- Goblin Horde of the Underdeep and Heroes of Yore.[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/047/759/583/00295092b9389d8f8600a73ea4f4734c_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1736273436&width=160&sig=BDaW3Kmd2eGNZpSniyiTr7gYSWN2OZxkqlYyzKq3JKo%3D[/inlineimg][/floatleft][b]Deadline:[/b]01-21-2025[url=https://kicktraq.com/projects/crumblingkeep/bekirs-battlers-a-new-era-of-wooden-minis/][IMG]https://kicktraq.com/projects/crumblingkeep/bekirs-battlers-a-new-era-of-wooden-minis//minichart.png[/IMG][/url],3504,399.0888383,,
https://www.kickstarter.com/projects/philipreed/classic-game-adventures-side-quests-for-rpgs/?ref=kicktraq,https://rpggeek.com/geeklist/349660/kickstarter-rpg-game-books-2025?itemid=11441072#11441072,,https://kicktraq.com/projects/philipreed/classic-game-adventures-side-quests-for-rpgs/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,Classic Game Adventures - Side Quests for RPGs,January 21 2025,Y,USD,"3,248.00",1,"3,248.00",Y,N,Y,"$3,248",3247.00%,Ended,3248,1765839024833,January 15 2025,"Inspired by the computer RPGs of the eighties, this deck of 50 cards delivers systemless hooks for any fantasy RPG.",https://i.kickstarter.com/assets/047/845/326/5e6082e4d6ababd95f5ed099577ea6d7_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1736969614&width=160&sig=cpM4w2uTH2C1svqdbNjTVAj2AS5IWagSzBgN11V7BqM%3D,"[size=14][b][url=https://www.kickstarter.com/projects/philipreed/classic-game-adventures-side-quests-for-rpgs/?ref=kicktraq]Classic Game Adventures - Side Quests for RPGs[/url][/b][/size][q]Inspired by the computer RPGs of the eighties, this deck of 50 cards delivers systemless hooks for any fantasy RPG.[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/047/845/326/5e6082e4d6ababd95f5ed099577ea6d7_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1736969614&width=160&sig=cpM4w2uTH2C1svqdbNjTVAj2AS5IWagSzBgN11V7BqM%3D[/inlineimg][/floatleft][b]Deadline:[/b]01-21-2025[url=https://kicktraq.com/projects/philipreed/classic-game-adventures-side-quests-for-rpgs/][IMG]https://kicktraq.com/projects/philipreed/classic-game-adventures-side-quests-for-rpgs//minichart.png[/IMG][/url]",3248,100.0307977,,
https://www.kickstarter.com/projects/bolvverk/renegade-realms-ravens-reach-5e-osr-compatible/?ref=kicktraq,https://rpggeek.com/geeklist/349660/kickstarter-rpg-game-books-2025?itemid=11389404#11389404,,https://kicktraq.com/projects/bolvverk/renegade-realms-ravens-reach-5e-osr-compatible/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,Renegade Realms: Raven's Reach (5e / OSR compatible),January 22 2025,Y,EUR,"1,521.00",1.04135,"1,583.89",Y,N,Y,"€1,521",1521.00%,Ended,1583.89,1765839024835,January 2 2025,"An endlessly expandable hex map for 5e, Pathfinder, Shadowdark, Forbidden Lands, Mörk Borg & other fantasy tabletop role-playing games!",https://i.kickstarter.com/assets/047/481/791/2eb7fd4f5a2f6c8f9e50ebc2149d25ca_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1733327768&width=160&sig=XZkuQxqo4zQNhL59rAougkCGuSiBn2h9e897JicI%2Bi0%3D,"[size=14][b][url=https://www.kickstarter.com/projects/bolvverk/renegade-realms-ravens-reach-5e-osr-compatible/?ref=kicktraq]Renegade Realms: Raven's Reach (5e / OSR compatible)[/url][/b][/size][q]An endlessly expandable hex map for 5e, Pathfinder, Shadowdark, Forbidden Lands, Mörk Borg & other fantasy tabletop role-playing games![/q][floatleft][inlineimg]https://i.kickstarter.com/assets/047/481/791/2eb7fd4f5a2f6c8f9e50ebc2149d25ca_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1733327768&width=160&sig=XZkuQxqo4zQNhL59rAougkCGuSiBn2h9e897JicI%2Bi0%3D[/inlineimg][/floatleft][b]Deadline:[/b]01-22-2025[url=https://kicktraq.com/projects/bolvverk/renegade-realms-ravens-reach-5e-osr-compatible/][IMG]https://kicktraq.com/projects/bolvverk/renegade-realms-ravens-reach-5e-osr-compatible//minichart.png[/IMG][/url]",1583.89335,104.135,,
https://www.kickstarter.com/projects/mcup/moonwards-magical-menagerie-and-book-of-natural-magic-zine-03/?ref=kicktraq,https://rpggeek.com/geeklist/349660/kickstarter-rpg-game-books-2025?itemid=11416707#11416707,,https://kicktraq.com/projects/mcup/moonwards-magical-menagerie-and-book-of-natural-magic-zine-03/,5E,,,Moonward's Magical Menagerie & Book of Natural Magic Zine 03,January 22 2025,Y,USD,609.00,1,609.00,Y,N,Y,$609,609.00%,Ended,609,1765839024836,January 7 2025,Bringing the Magic of all sorts to your Fantasy Roleplay Game,https://i.kickstarter.com/assets/047/708/202/1c80347b67e866335a2bdbfe01406173_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1735798452&width=160&sig=nTKayGNGY6BAhh1cpftTYeGK1l02Ctf28FDsR3nKoCI%3D,[size=14][b][url=https://www.kickstarter.com/projects/mcup/moonwards-magical-menagerie-and-book-of-natural-magic-zine-03/?ref=kicktraq]Moonward's Magical Menagerie & Book of Natural Magic Zine 03[/url][/b][/size][q]Bringing the Magic of all sorts to your Fantasy Roleplay Game[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/047/708/202/1c80347b67e866335a2bdbfe01406173_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1735798452&width=160&sig=nTKayGNGY6BAhh1cpftTYeGK1l02Ctf28FDsR3nKoCI%3D[/inlineimg][/floatleft][b]Deadline:[/b]01-22-2025[url=https://kicktraq.com/projects/mcup/moonwards-magical-menagerie-and-book-of-natural-magic-zine-03/][IMG]https://kicktraq.com/projects/mcup/moonwards-magical-menagerie-and-book-of-natural-magic-zine-03//minichart.png[/IMG][/url],609,100,,
https://www.kickstarter.com/projects/necropolisofsakkara/eric-man-of-war-3d-printable-dnd-5e-compatible-80s-warrior/?ref=kicktraq,https://rpggeek.com/geeklist/349660/kickstarter-rpg-game-books-2025?itemid=11416687#11416687,,https://kicktraq.com/projects/necropolisofsakkara/eric-man-of-war-3d-printable-dnd-5e-compatible-80s-warrior/,5E,,,Eric -Man of War- 3d printable DnD 5e compatible 80s warrior,January 23 2025,Y,EUR,332.00,1.041615,345.82,Y,N,Y,€332,664.00%,Ended,345.82,1765839024837,January 7 2025,"Miniature STL files in 32mm + 75mm scale for gaming, painters, collectors and dioramas. Including D&D 5e compatible character sheet",https://i.kickstarter.com/assets/046/650/487/49baa94e657939c270737ad602441b8d_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1727459431&width=160&sig=anZExl%2FbAmIZ32gnxQmkyFzpn%2FMVELLgE17RB2PqNiw%3D,"[size=14][b][url=https://www.kickstarter.com/projects/necropolisofsakkara/eric-man-of-war-3d-printable-dnd-5e-compatible-80s-warrior/?ref=kicktraq]Eric -Man of War- 3d printable DnD 5e compatible 80s warrior[/url][/b][/size][q]Miniature STL files in 32mm + 75mm scale for gaming, painters, collectors and dioramas. Including D&D 5e compatible character sheet[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/046/650/487/49baa94e657939c270737ad602441b8d_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1727459431&width=160&sig=anZExl%2FbAmIZ32gnxQmkyFzpn%2FMVELLgE17RB2PqNiw%3D[/inlineimg][/floatleft][b]Deadline:[/b]01-23-2025[url=https://kicktraq.com/projects/necropolisofsakkara/eric-man-of-war-3d-printable-dnd-5e-compatible-80s-warrior/][IMG]https://kicktraq.com/projects/necropolisofsakkara/eric-man-of-war-3d-printable-dnd-5e-compatible-80s-warrior//minichart.png[/IMG][/url]",345.81618,52.08075,,
