BackerKit Link,RPGGeek List Item,Type,Non-5E: For RPG,RPG: related to,Project Name,Ended Date,Funding Level,Funding Goal,Project Status,Project Blurb,Image URL,,Currency,Funding Level,Exchange Rate,FundingLevelUSD,Goal Level,Reached Goal?,Progress,Success?,Real Funding USD,RPGGeek Entry Code,OSR Original,OSR Scene
https://www.backerkit.com/c/projects/roll-and-play-press/monsters-maps-magic-items-royal-edition,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11379490#11379490,5E,,,"Monsters, Maps & Magic Items: Royal Edition","Jun 15, 2022","£3,601",£500,Project Ended,"A digital collection of regal items, enemies and VTT-compatible maps for your 5E role-playing games.",https://bk-prod.imgix.net/active_storage/backerkit_production/blob/f848mio9bogzexwm8xrxknaity8l?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,GBP,"3,601.00",1.2173,"$4,383.50",500.00,Y,720.20%,Y,"$4,383.50","[size=14][b][url=https://www.backerkit.com/c/projects/roll-and-play-press/monsters-maps-magic-items-royal-edition]Monsters, Maps & Magic Items: Royal Edition[/url][/b][/size][q]A digital collection of regal items, enemies and VTT-compatible maps for your 5E role-playing games.[/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/f848mio9bogzexwm8xrxknaity8l?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ",,
https://www.backerkit.com/c/projects/exalted-funeral/land-of-eem,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11379491#11379491,RPG,,,Land of Eem,"Aug 12, 2022","$239,820","$20,000",Project Ended,The Lord of the Rings meets The Muppets in this lighthearted fantasy tabletop roleplaying game! Land of Eem is packed with simple rules and resources that encourage players to be creative and make GMing easy.,https://bk-prod.imgix.net/active_storage/backerkit_production/blob/5qsxwe64uh69d71kgja93g09zvyy?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,USD,"239,820.00",1.0000,"$239,820.00",20000.00,Y,1199.10%,Y,"$239,820.00",[size=14][b][url=https://www.backerkit.com/c/projects/exalted-funeral/land-of-eem]Land of Eem[/url][/b][/size][q]The Lord of the Rings meets The Muppets in this lighthearted fantasy tabletop roleplaying game! Land of Eem is packed with simple rules and resources that encourage players to be creative and make GMing easy.[/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/5qsxwe64uh69d71kgja93g09zvyy?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ,,
https://www.backerkit.com/c/projects/monte-cook-games/the-weird,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11379506#11379506,non-5E,https://rpggeek.com/rpg/356/generic-universal,,The Weird,"Oct 8, 2022","$405,882","$50,000",Project Ended,"Make every encounter, adventure, and even campaign more engaging, memorable, and fun. From legendary D&D designer Monte Cook!",https://bk-prod.imgix.net/active_storage/backerkit_production/blob/vctf6fj3k9jh0jyx9lhho8r5jjhd?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,USD,"405,882.00",1.0000,"$405,882.00",50000.00,Y,811.76%,Y,"$405,882.00","[size=14][b][url=https://www.backerkit.com/c/projects/monte-cook-games/the-weird]The Weird[/url][/b][/size][q]Make every encounter, adventure, and even campaign more engaging, memorable, and fun. From legendary D&D designer Monte Cook![/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/vctf6fj3k9jh0jyx9lhho8r5jjhd?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ",,
https://www.backerkit.com/c/projects/connor-alexander/coyote-and-crow-stories-of-the-free-lands,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11379509#11379509,non-5E,https://rpggeek.com/rpg/73450/coyote-and-crow,,Coyote & Crow: Stories of the Free Lands,"Oct 13, 2022","$172,960","$30,000",Project Ended,"Stories of the Free Lands is the first expansion for Coyote & Crow the Roleplaying Game. Stories from ten Indigenous authors and ten artists fully compatible with the RPG. You'll also be able to get our new dice game, Naasii, and our Story Guide Screen!",https://bk-prod.imgix.net/active_storage/backerkit_production/blob/2k4dhr1hieh4lg9wf20fqtczd7ln?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,USD,"172,960.00",1.0000,"$172,960.00",30000.00,Y,576.53%,Y,"$172,960.00","[size=14][b][url=https://www.backerkit.com/c/projects/connor-alexander/coyote-and-crow-stories-of-the-free-lands]Coyote & Crow: Stories of the Free Lands[/url][/b][/size][q]Stories of the Free Lands is the first expansion for Coyote & Crow the Roleplaying Game. Stories from ten Indigenous authors and ten artists fully compatible with the RPG. You'll also be able to get our new dice game, Naasii, and our Story Guide Screen![/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/2k4dhr1hieh4lg9wf20fqtczd7ln?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ",,
https://www.backerkit.com/c/projects/snowbright-studio/ink,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11379512#11379512,RPG,,,ink,"Nov 1, 2022","$19,206","$7,000",Project Ended,"Battle your way through the spirit world in ink, a new tabletop roleplaying game from Snowbright Studio. Rejoin the lost souls of departed characters as you travel dangerous waters and treacherous isles.",https://bk-prod.imgix.net/active_storage/backerkit_production/blob/w0ldb5qp5tvl7mt1r2zsow53u2rp?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,USD,"19,206.00",1.0000,"$19,206.00",7000.00,Y,274.37%,Y,"$19,206.00","[size=14][b][url=https://www.backerkit.com/c/projects/snowbright-studio/ink]ink[/url][/b][/size][q]Battle your way through the spirit world in ink, a new tabletop roleplaying game from Snowbright Studio. Rejoin the lost souls of departed characters as you travel dangerous waters and treacherous isles.[/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/w0ldb5qp5tvl7mt1r2zsow53u2rp?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ",,
https://www.backerkit.com/c/projects/douglas-h-cole/nightmare-fuel,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11379513#11379513,non-5E,https://rpggeek.com/rpg/43235/dungeon-fantasy-roleplaying-game,,Nightmare Fuel,"Nov 6, 2022","$35,138","$24,000",Project Ended,"Three new bestiary volumes for the Dungeon Fantasy RPG! Terrible slithering things, creepy-crawlies with their skeleton on the outside, or no skeleton at all, and a selection of awful green things. Three books filled with Nightmare Fuel!",https://bk-prod.imgix.net/active_storage/backerkit_production/blob/331y7lxff9bvdpgc08a3ebfbearl?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,USD,"35,138.00",1.0000,"$35,138.00",24000.00,Y,146.41%,Y,"$35,138.00","[size=14][b][url=https://www.backerkit.com/c/projects/douglas-h-cole/nightmare-fuel]Nightmare Fuel[/url][/b][/size][q]Three new bestiary volumes for the Dungeon Fantasy RPG! Terrible slithering things, creepy-crawlies with their skeleton on the outside, or no skeleton at all, and a selection of awful green things. Three books filled with Nightmare Fuel![/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/331y7lxff9bvdpgc08a3ebfbearl?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ",,
https://www.backerkit.com/c/projects/onyx-path/scion-god,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11379514#11379514,non-5E,https://rpggeek.com/rpg/50567/scion-second-edition,,Scion: God,"Nov 17, 2022","€121,438","$30,000",Project Ended,Scion: God brings Scion stories to their latest chapter with all-new rules for players and guidance for Storyguides. This builds on the journey begun in Scion: Origin and Scion: Hero and continued through Scion: Demigod.,https://bk-prod.imgix.net/active_storage/backerkit_production/blob/74yhnyu29zm0po8y49edw11nk1p7?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,EUR,"121,438.00",1.0361,"$125,821.91",30000.00,Y,404.79%,Y,"$125,821.91",[size=14][b][url=https://www.backerkit.com/c/projects/onyx-path/scion-god]Scion: God[/url][/b][/size][q]Scion: God brings Scion stories to their latest chapter with all-new rules for players and guidance for Storyguides. This builds on the journey begun in Scion: Origin and Scion: Hero and continued through Scion: Demigod.[/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/74yhnyu29zm0po8y49edw11nk1p7?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ,,
https://www.backerkit.com/c/projects/gallant-knight-games/carrion-lands,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11379517#11379517,RPG,,,Carrion Lands,"Nov 17, 2022","$14,300","$20,000",Project Ended,"A dark fantasy survival horror roleplaying game, inspired by classic sword & sorcery literature, and powered by an adventure gaming system!",https://bk-prod.imgix.net/active_storage/backerkit_production/blob/t1m0wq330xnhrebhev8swgzmv4m8?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,USD,"14,300.00",1.0000,"$14,300.00",20000.00,N,71.50%,N,$0.00,"[size=14][b][url=https://www.backerkit.com/c/projects/gallant-knight-games/carrion-lands]Carrion Lands[/url][/b][/size][q]A dark fantasy survival horror roleplaying game, inspired by classic sword & sorcery literature, and powered by an adventure gaming system![/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/t1m0wq330xnhrebhev8swgzmv4m8?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ",,?
https://www.backerkit.com/c/projects/the-world-anvil-publishing/dead-air-seasons,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11379518#11379518,RPG,,,Dead Air: Seasons,"Nov 30, 2022","$58,466","€8,000",Project Ended,A survival RPG in a world no longer ours,https://bk-prod.imgix.net/active_storage/backerkit_production/blob/p0mgbp6st0j53sufvvbzh0n10a6r?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,USD,"58,466.00",1.0000,"$58,466.00",8000.00,Y,730.83%,Y,"$58,466.00",[size=14][b][url=https://www.backerkit.com/c/projects/the-world-anvil-publishing/dead-air-seasons]Dead Air: Seasons[/url][/b][/size][q]A survival RPG in a world no longer ours[/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/p0mgbp6st0j53sufvvbzh0n10a6r?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ,,
https://www.backerkit.com/c/projects/ghostfire-gaming/grim-hollow-citadel-of-the-unseen-sun,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11379521#11379521,5E,,,Grim Hollow: Citadel of the Unseen Sun,"Dec 15, 2022","$159,085","$20,000",Project Ended,Journey through the depths of Ostoya in this massive 5th Edition Adventure spanning six premium hardcover books!,https://bk-prod.imgix.net/active_storage/backerkit_production/blob/g290k40ej24czfwmru2k7lwl10zx?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,USD,"159,085.00",1.0000,"$159,085.00",20000.00,Y,795.43%,Y,"$159,085.00",[size=14][b][url=https://www.backerkit.com/c/projects/ghostfire-gaming/grim-hollow-citadel-of-the-unseen-sun]Grim Hollow: Citadel of the Unseen Sun[/url][/b][/size][q]Journey through the depths of Ostoya in this massive 5th Edition Adventure spanning six premium hardcover books![/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/g290k40ej24czfwmru2k7lwl10zx?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ,,
