GameOnTabletop Link,RPGGeek List Item,Type,Non-5E: For RPG,RPG: related to,Project Name,Ended Date,Funding Level,Project Status,Currency,Funding Level,Exchange Rate,FundingLevelUSD,OSR Original,OSR Scene
https://www.gameontabletop.com/cf3291/la-foret-de-myrceliade.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918397#11918397,RPG,,,La Forêt de Myrcéliade,2024-11-03,"€1,848.00",Project Ended,EUR,"1,848.00",1.0878,"$2,010.25",,
https://www.gameontabletop.com/cf3971/les-miroirs-des-terres-medianes-pour-reve-de-dragon.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918418#11918418,non-5E,https://rpggeek.com/rpg/4284/reve-de-dragon,,Les Miroirs des Terres Médianes pour Rêve de Dragon,November 24 2024,"€157,018.00",Project Ended,EUR,"157,018.00",1.0479,"$164,537.59",,
https://www.gameontabletop.com/cf3991/chroniques-oubliees-fantasy-2-bestiaire-setting-campagnes.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918422#11918422,non-5E,https://rpggeek.com/rpg/26949/chroniques-oubliees-fantasy,,"Chroniques Oubliées Fantasy 2 : bestiaire, setting & campagnes",November 12 2024,"€255,440.00",Project Ended,EUR,"255,440.00",1.0616,"$271,182.77",,
https://www.gameontabletop.com/cf4441/dream-askew-dream-apart.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918424#11918424,non-5E,https://rpggeek.com/rpg/24442/dream-askew,,Dream Askew / Dream Apart,November 21 2024,"€10,227.00",Project Ended,EUR,"10,227.00",1.0473,"$10,710.74",,
https://www.gameontabletop.com/cf2021/shiver-l-horreur-sous-toutes-ses-formes.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918433#11918433,non-5E,https://rpggeek.com/rpg/66239/shiver,,Shiver - l'horreur sous toutes ses formes,December 12 2024,"€23,893.00",Project Ended,EUR,"23,893.00",1.0471,"$25,018.36",,
https://www.gameontabletop.com/cf4311/children-of-the-fall-deutsche-version.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918439#11918439,non-5E,https://rpggeek.com/rpg/48374/children-of-the-fall,,Children of the Fall - Deutsche Version,December 1 2024,"€3,450.00",Project Ended,EUR,"3,450.00",1.0498,"$3,621.81",,
https://www.gameontabletop.com/cf398/ji-herp-3eme-edition.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918463#11918463,RPG,,,Ji-herp 3ème édition,January 5 2025,"€2,619.00",Project Ended,EUR,"2,619.00",1.0305,"$2,698.75",,
https://www.gameontabletop.com/cf4621/cats-la-mascarade-shutdown-supplement-campagne.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918672#11918672,non-5E,https://rpggeek.com/rpg/108735/cats-la-mascarade,,Cats! La Mascarade : Shutdown - supplément & campagne,December 9 2024,"€50,415.00",Project Ended,EUR,"50,415.00",1.0555,"$53,210.51",,
https://www.gameontabletop.com/cf4681/jenseits-der-spiegel.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918692#11918692,non-5E,https://rpggeek.com/rpg/23857/midgard-5th-edition,,Jenseits der Spiegel,December 30 2024,"€57,224.00",Project Ended,EUR,"57,224.00",1.0403,"$59,530.13",,
https://www.gameontabletop.com/cf4651/solar-valkeran.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918703#11918703,RPG,,,Solar Valkeran,June 21 2025,"€1,838.00",Project Ended,EUR,"1,838.00",1.1519,"$2,117.19",,
